phi,theta,omega0,theta0,phi0,rho0,A0,xp0,gradient_strength,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,final_2m_over_r,sample_count,external_mass_proxy
4.487989505128276,-4.487989505128276,0.5,-4.487989505128276,4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.13441741522424508,0.026883483044849017,112,0.13441741522424508
4.487989505128276,-2.6927937030769655,0.5,-2.6927937030769655,4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.1344174152242727,0.02688348304485454,112,0.1344174152242727
4.487989505128276,-0.8975979010256552,0.5,-0.8975979010256552,4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.1344174152242764,0.02688348304485528,112,0.1344174152242764
4.487989505128276,0.8975979010256552,0.5,0.8975979010256552,4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.13441741522428066,0.026883483044856132,112,0.13441741522428066
4.487989505128276,2.6927937030769655,0.5,2.6927937030769655,4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.13441741522426476,0.02688348304485295,112,0.13441741522426476
4.487989505128276,4.487989505128276,0.5,4.487989505128276,4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.1344174152242586,0.02688348304485172,112,0.1344174152242586
4.487989505128276,6.283185307179586,0.5,6.283185307179586,4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.13441741522425107,0.026883483044850214,112,0.13441741522425107
6.283185307179586,-6.283185307179586,0.5,-6.283185307179586,6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.0012447716725050271,0.0002489543345010054,49,0.0012447716725050271
6.283185307179586,-4.487989505128276,0.5,-4.487989505128276,6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.0012447716725049961,0.00024895433450099923,49,0.0012447716725049961
6.283185307179586,-2.6927937030769655,0.5,-2.6927937030769655,6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.0012447716725049645,0.0002489543345009929,49,0.0012447716725049645
6.283185307179586,-0.8975979010256552,0.5,-0.8975979010256552,6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.0012447716725047368,0.00024895433450094736,49,0.0012447716725047368
6.283185307179586,0.8975979010256552,0.5,0.8975979010256552,6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.0012447716725047372,0.00024895433450094746,49,0.0012447716725047372
6.283185307179586,2.6927937030769655,0.5,2.6927937030769655,6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.0012447716725049619,0.00024895433450099235,49,0.0012447716725049619
6.283185307179586,4.487989505128276,0.5,4.487989505128276,6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.0012447716725050013,0.00024895433450100026,49,0.0012447716725050013
6.283185307179586,6.283185307179586,0.5,6.283185307179586,6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.0012447716725050265,0.0002489543345010053,49,0.0012447716725050265
