theta_2,rho_2,dm
-0.4960409453036516,1.8188167994467221,0.7985679281861613
-0.4960409453036516,2.14951076298249,0.9018585062484245
-0.4960409453036516,2.4802047265182576,1.005149084310687
-0.4960409453036516,2.8108986900540254,1.1084396623729496
-0.4960409453036516,3.141592653589793,1.2117302404352128
-0.16534698176788387,-3.141592653589793,-0.5442095866232548
-0.16534698176788387,-2.8108986900540254,-0.4409190085609921
-0.16534698176788387,-2.4802047265182576,-0.33762843049872926
-0.16534698176788387,-2.14951076298249,-0.23433785243646627
-0.16534698176788387,-1.8188167994467224,-0.1310472743742037
-0.16534698176788387,-1.4881228359109546,-0.027756696311940787
-0.16534698176788387,-1.157428872375187,0.07553388175032197
-0.16534698176788387,-0.8267349088394194,0.17882445981258474
-0.16534698176788387,-0.4960409453036516,0.28211503787484754
-0.16534698176788387,-0.16534698176788387,0.3854056159371104
-0.16534698176788387,0.16534698176788387,0.48869619399937336
-0.16534698176788387,0.4960409453036516,0.5919867720616362
-0.16534698176788387,0.8267349088394189,0.6952773501238987
-0.16534698176788387,1.1574288723751867,0.7985679281861613
-0.16534698176788387,1.4881228359109544,0.9018585062484245
-0.16534698176788387,1.8188167994467221,1.005149084310687
-0.16534698176788387,2.14951076298249,1.1084396623729496
-0.16534698176788387,2.4802047265182576,1.2117302404352128
-0.16534698176788387,2.8108986900540254,1.315020818497476
-0.16534698176788387,3.141592653589793,1.4183113965597383
0.16534698176788387,-3.141592653589793,-0.3376284304987293
0.16534698176788387,-2.8108986900540254,-0.23433785243646627
0.16534698176788387,-2.4802047265182576,-0.13104727437420355
0.16534698176788387,-2.14951076298249,-0.027756696311940707
0.16534698176788387,-1.8188167994467224,0.07553388175032202
0.16534698176788387,-1.4881228359109546,0.17882445981258485
0.16534698176788387,-1.157428872375187,0.28211503787484754
0.16534698176788387,-0.8267349088394194,0.3854056159371104
0.16534698176788387,-0.4960409453036516,0.48869619399937336
0.16534698176788387,-0.16534698176788387,0.5919867720616362
0.16534698176788387,0.16534698176788387,0.6952773501238987
0.16534698176788387,0.4960409453036516,0.7985679281861616
0.16534698176788387,0.8267349088394189,0.9018585062484245
0.16534698176788387,1.1574288723751867,1.005149084310687
0.16534698176788387,1.4881228359109544,1.1084396623729496
0.16534698176788387,1.8188167994467221,1.2117302404352128
0.16534698176788387,2.14951076298249,1.315020818497476
0.16534698176788387,2.4802047265182576,1.418311396559738
0.16534698176788387,2.8108986900540254,1.5216019746220013
0.16534698176788387,3.141592653589793,1.6248925526842644
0.4960409453036516,-3.141592653589793,-0.13104727437420355
0.4960409453036516,-2.8108986900540254,-0.02775669631194071
0.4960409453036516,-2.4802047265182576,0.0755338817503221
0.4960409453036516,-2.14951076298249,0.17882445981258493
0.4960409453036516,-1.8188167994467224,0.28211503787484765
0.4960409453036516,-1.4881228359109546,0.3854056159371104
0.4960409453036516,-1.157428872375187,0.48869619399937336
0.4960409453036516,-0.8267349088394194,0.5919867720616362
0.4960409453036516,-0.4960409453036516,0.6952773501238987
0.4960409453036516,-0.16534698176788387,0.7985679281861615
0.4960409453036516,0.16534698176788387,0.9018585062484245
0.4960409453036516,0.4960409453036516,1.0051490843106872
0.4960409453036516,0.8267349088394189,1.1084396623729496
0.4960409453036516,1.1574288723751867,1.2117302404352128
0.4960409453036516,1.4881228359109544,1.315020818497476
0.4960409453036516,1.8188167994467221,1.4183113965597383
0.4960409453036516,2.14951076298249,1.5216019746220013
0.4960409453036516,2.4802047265182576,1.6248925526842644
0.4960409453036516,2.8108986900540254,1.7281831307465267
0.4960409453036516,3.141592653589793,1.8314737088087896
0.8267349088394189,-3.141592653589793,0.07553388175032182
0.8267349088394189,-2.8108986900540254,0.17882445981258469
0.8267349088394189,-2.4802047265182576,0.28211503787484743
0.8267349088394189,-2.14951076298249,0.3854056159371103
0.8267349088394189,-1.8188167994467224,0.4886961939993732
0.8267349088394189,-1.4881228359109546,0.5919867720616359
0.8267349088394189,-1.157428872375187,0.6952773501238986
0.8267349088394189,-0.8267349088394194,0.798567928186161
0.8267349088394189,-0.4960409453036516,0.9018585062484241
0.8267349088394189,-0.16534698176788387,1.005149084310687
0.8267349088394189,0.16534698176788387,1.1084396623729496
0.8267349088394189,0.4960409453036516,1.2117302404352128
0.8267349088394189,0.8267349088394189,1.315020818497476
0.8267349088394189,1.1574288723751867,1.4183113965597378
0.8267349088394189,1.4881228359109544,1.5216019746220009
0.8267349088394189,1.8188167994467221,1.624892552684264
