phi,rho,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,mass_half_radius,compactness,final_2m_over_r
-0.6981317007977319,-3.490658503988659,0.5,0.0,-0.6981317007977319,-3.490658503988659,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.9532711512909355,2.697899490527365,0.35333827469777135,0.38130846051637424
-0.6981317007977319,-2.0943951023931957,0.5,0.0,-0.6981317007977319,-2.0943951023931957,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.861966027171147,2.7743222511716783,0.3106942702157665,0.3447864108684588
-0.6981317007977319,-0.6981317007977319,0.5,0.0,-0.6981317007977319,-0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.8180537969838558,2.753834316143571,0.2970599183067216,0.32722151879354233
-0.6981317007977319,0.6981317007977319,0.5,0.0,-0.6981317007977319,0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.8180537969838558,2.753834316143571,0.2970599183067216,0.32722151879354233
-0.6981317007977319,2.094395102393195,0.5,0.0,-0.6981317007977319,2.094395102393195,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.8619660271711463,2.774322251309187,0.3106942702003668,0.3447864108684585
-0.6981317007977319,3.4906585039886586,0.5,0.0,-0.6981317007977319,3.4906585039886586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.9532711512909343,2.697899490156178,0.3533382747463845,0.38130846051637374
-0.6981317007977319,4.886921905584122,0.5,0.0,-0.6981317007977319,4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.1001445045635339,2.633500834578216,0.4177498218791087,0.44005780182541354
-0.6981317007977319,6.283185307179586,0.5,0.0,-0.6981317007977319,6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839674027492,2.7309734533064614,0.46023294949315846,0.5027535869610997
0.6981317007977319,-6.283185307179586,0.5,0.0,0.6981317007977319,-6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839674027492,2.7309734533064614,0.46023294949315846,0.5027535869610997
0.6981317007977319,-4.886921905584122,0.5,0.0,0.6981317007977319,-4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.1001445045635339,2.633500834578216,0.4177498218791087,0.44005780182541354
0.6981317007977319,-3.490658503988659,0.5,0.0,0.6981317007977319,-3.490658503988659,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.9532711512909355,2.697899490527365,0.35333827469777135,0.38130846051637424
0.6981317007977319,-2.0943951023931957,0.5,0.0,0.6981317007977319,-2.0943951023931957,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.861966027171147,2.7743222511716783,0.3106942702157665,0.3447864108684588
0.6981317007977319,-0.6981317007977319,0.5,0.0,0.6981317007977319,-0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.8180537969838558,2.753834316143571,0.2970599183067216,0.32722151879354233
0.6981317007977319,0.6981317007977319,0.5,0.0,0.6981317007977319,0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.8180537969838558,2.753834316143571,0.2970599183067216,0.32722151879354233
0.6981317007977319,2.094395102393195,0.5,0.0,0.6981317007977319,2.094395102393195,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.8619660271711463,2.774322251309187,0.3106942702003668,0.3447864108684585
0.6981317007977319,3.4906585039886586,0.5,0.0,0.6981317007977319,3.4906585039886586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.9532711512909343,2.697899490156178,0.3533382747463845,0.38130846051637374
0.6981317007977319,4.886921905584122,0.5,0.0,0.6981317007977319,4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.1001445045635339,2.633500834578216,0.4177498218791087,0.44005780182541354
0.6981317007977319,6.283185307179586,0.5,0.0,0.6981317007977319,6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839674027492,2.7309734533064614,0.46023294949315846,0.5027535869610997
2.094395102393195,-6.283185307179586,0.5,0.0,2.094395102393195,-6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.4989644272875962,2.597632465348679,0.1920843052062103,0.19958577091503849
2.094395102393195,-4.886921905584122,0.5,0.0,2.094395102393195,-4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.43821247135425767,2.5645758888318717,0.17087132155557203,0.17528498854170307
2.094395102393195,-3.490658503988659,0.5,0.0,2.094395102393195,-3.490658503988659,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.35974225174639374,2.712855228083193,0.13260650550843245,0.14389690069855748
2.094395102393195,-2.0943951023931957,0.5,0.0,2.094395102393195,-2.0943951023931957,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.31021933255635564,2.695483736248581,0.11508855660472321,0.12408773302254225
2.094395102393195,-0.6981317007977319,0.5,0.0,2.094395102393195,-0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.2860603639880375,2.7423672034718587,0.10431147354223126,0.11442414559521501
2.094395102393195,0.6981317007977319,0.5,0.0,2.094395102393195,0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.2860603639880375,2.7423672034718587,0.10431147354223126,0.11442414559521501
2.094395102393195,2.094395102393195,0.5,0.0,2.094395102393195,2.094395102393195,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.310219332556358,2.6954837362405706,0.1150885566050661,0.1240877330225432
2.094395102393195,3.4906585039886586,0.5,0.0,2.094395102393195,3.4906585039886586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.3597422517463936,2.7128552280891314,0.13260650550814215,0.14389690069855746
2.094395102393195,4.886921905584122,0.5,0.0,2.094395102393195,4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.43821247135425767,2.5645758888318717,0.17087132155557203,0.17528498854170307
2.094395102393195,6.283185307179586,0.5,0.0,2.094395102393195,6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.4989644272875962,2.597632465348679,0.1920843052062103,0.19958577091503849
3.4906585039886586,-6.283185307179586,0.5,0.0,3.4906585039886586,-6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.18336386611332278,2.647971664532364,0.06924691399434033,0.07334554644532912
3.4906585039886586,-4.886921905584122,0.5,0.0,3.4906585039886586,-4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.16316275753181825,2.598887176308371,0.062781777916033,0.0652651030127273
3.4906585039886586,-3.490658503988659,0.5,0.0,3.4906585039886586,-3.490658503988659,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.13217264063251602,2.7356441856300235,0.04831499700392375,0.052869056253006405
3.4906585039886586,-2.0943951023931957,0.5,0.0,3.4906585039886586,-2.0943951023931957,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.11143585494969258,2.7874916629722177,0.03997710788877191,0.04457434197987703
3.4906585039886586,-0.6981317007977319,0.5,0.0,3.4906585039886586,-0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.10113035326331701,2.781880715959285,0.03635323135285616,0.0404521413053268
