theta,rho,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,mass_half_radius,compactness,final_2m_over_r
-0.6981317007977319,0.6981317007977319,0.5,-0.6981317007977319,0.39269908169872414,0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.13348014607384318,2.7145736967202394,0.04917167886623027,0.05339205842953727
-0.6981317007977319,2.094395102393195,0.5,-0.6981317007977319,0.39269908169872414,2.094395102393195,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.14664469375782227,2.7165687170174566,0.05398158818482777,0.05865787750312891
-0.6981317007977319,3.4906585039886586,0.5,-0.6981317007977319,0.39269908169872414,3.4906585039886586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.17324222420872606,2.6444508633180273,0.06551160644042248,0.06929688968349043
-0.6981317007977319,4.886921905584122,0.5,-0.6981317007977319,0.39269908169872414,4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.21354086304298064,2.6634736901469065,0.08017382106417675,0.08541634521719225
-0.6981317007977319,6.283185307179586,0.5,-0.6981317007977319,0.39269908169872414,6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.240680701195774,2.594717980917885,0.09275794246842692,0.0962722804783096
0.6981317007977319,-6.283185307179586,0.5,0.6981317007977319,0.39269908169872414,-6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.240680701195774,2.594717980917885,0.09275794246842692,0.0962722804783096
0.6981317007977319,-4.886921905584122,0.5,0.6981317007977319,0.39269908169872414,-4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.21354086304298064,2.6634736901469065,0.08017382106417675,0.08541634521719225
0.6981317007977319,-3.490658503988659,0.5,0.6981317007977319,0.39269908169872414,-3.490658503988659,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.1732422242087257,2.644450863287875,0.06551160644116931,0.06929688968349028
0.6981317007977319,-2.0943951023931957,0.5,0.6981317007977319,0.39269908169872414,-2.0943951023931957,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.14664469375782213,2.716568717036205,0.05398158818445516,0.058657877503128855
0.6981317007977319,-0.6981317007977319,0.5,0.6981317007977319,0.39269908169872414,-0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.13348014607384318,2.7145736967202394,0.04917167886623027,0.05339205842953727
0.6981317007977319,0.6981317007977319,0.5,0.6981317007977319,0.39269908169872414,0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.13348014607419967,2.71457311467466,0.049171689409514094,0.05339205842967987
0.6981317007977319,2.094395102393195,0.5,0.6981317007977319,0.39269908169872414,2.094395102393195,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.14664469377178774,2.7165604667958108,0.05398175213259857,0.058657877508715095
0.6981317007977319,3.4906585039886586,0.5,0.6981317007977319,0.39269908169872414,3.4906585039886586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.17324222424589256,2.644422457562783,0.06551231016452655,0.06929688969835703
0.6981317007977319,4.886921905584122,0.5,0.6981317007977319,0.39269908169872414,4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.21354086307670286,2.663451191613055,0.08017449831599016,0.08541634523068115
0.6981317007977319,6.283185307179586,0.5,0.6981317007977319,0.39269908169872414,6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.240680701195774,2.594717980917885,0.09275794246842692,0.0962722804783096
2.094395102393195,-6.283185307179586,0.5,2.094395102393195,0.39269908169872414,-6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.2406807011953346,2.5947203928201437,0.09275785624583006,0.09627228047813384
2.094395102393195,-4.886921905584122,0.5,2.094395102393195,0.39269908169872414,-4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.21354086302050035,2.663528322025488,0.08017217660299275,0.08541634520820014
2.094395102393195,-3.490658503988659,0.5,2.094395102393195,0.39269908169872414,-3.490658503988659,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.17324222418648538,2.644509042260577,0.06551016518302187,0.06929688967459416
