phi,theta,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,mass_half_radius,compactness,final_2m_over_r
-3.490658503988659,4.886921905584122,0.5,4.886921905584122,-3.490658503988659,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.18336386611334551,2.647971507697755,0.06924691809571958,0.07334554644533821
-3.490658503988659,6.283185307179586,0.5,6.283185307179586,-3.490658503988659,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.1833638661133243,2.647971664514638,0.06924691399480444,0.07334554644532973
-2.0943951023931957,-6.283185307179586,0.5,-6.283185307179586,-2.0943951023931957,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.4989644272875944,2.5976324653044958,0.19208430520947678,0.19958577091503776
-2.0943951023931957,-4.886921905584122,0.5,-4.886921905584122,-2.0943951023931957,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.49896442728774054,2.5976322753689196,0.19208431925449374,0.19958577091509622
-2.0943951023931957,-3.490658503988659,0.5,-3.490658503988659,-2.0943951023931957,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.4989644272879948,2.5976319342301983,0.19208434448041295,0.1995857709151979
-2.0943951023931957,-2.0943951023931957,0.5,-2.0943951023931957,-2.0943951023931957,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.4989644272885907,2.597631140516267,0.19208440317258588,0.19958577091543628
-2.0943951023931957,-0.6981317007977319,0.5,-0.6981317007977319,-2.0943951023931957,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.4989644272915133,2.5976272268750025,0.19208469257222002,0.19958577091660532
-2.0943951023931957,0.6981317007977319,0.5,0.6981317007977319,-2.0943951023931957,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.4989644272915133,2.5976272268750025,0.19208469257222002,0.19958577091660532
-2.0943951023931957,2.094395102393195,0.5,2.094395102393195,-2.0943951023931957,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.4989644272885907,2.597631140516267,0.19208440317258588,0.19958577091543628
-2.0943951023931957,3.4906585039886586,0.5,3.4906585039886586,-2.0943951023931957,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.4989644272879948,2.5976319342301983,0.19208434448041295,0.1995857709151979
