theta,rho,detJ
1.6534698176788378,-2.314857744750374,-7.288279005166708
1.6534698176788378,-1.6534698176788387,-7.288279003455561
1.6534698176788378,-0.9920818906073032,-7.28827900423043
1.6534698176788378,-0.33069396353576774,-7.288279004175183
1.6534698176788378,0.33069396353576774,-7.288279003593258
1.6534698176788378,0.9920818906073032,-7.288279004620987
1.6534698176788378,1.6534698176788378,-7.2882790039108105
1.6534698176788378,2.3148577447503733,-7.288279004917804
1.6534698176788378,2.976245671821909,-7.288279004921612
1.6534698176788378,3.6376335988934443,-7.288279005396345
1.6534698176788378,4.29902152596498,-7.288279005404026
1.6534698176788378,4.960409453036515,-7.288279005080798
1.6534698176788378,5.621797380108051,-7.288279005024101
1.6534698176788378,6.283185307179586,-7.288279005530605
2.3148577447503733,-6.283185307179586,-0.6101834163852123
2.3148577447503733,-5.621797380108051,-0.6101834165414759
2.3148577447503733,-4.960409453036515,-0.6101834166486761
2.3148577447503733,-4.29902152596498,-0.6101834167766739
2.3148577447503733,-3.6376335988934447,-0.6101834165332373
2.3148577447503733,-2.9762456718219092,-0.6101834163966275
2.3148577447503733,-2.314857744750374,-0.6101834168958824
2.3148577447503733,-1.6534698176788387,-0.6101834164115946
2.3148577447503733,-0.9920818906073032,-0.6101834166200972
2.3148577447503733,-0.33069396353576774,-0.6101834163828335
2.3148577447503733,0.33069396353576774,-0.6101834165100164
2.3148577447503733,0.9920818906073032,-0.610183416903044
2.3148577447503733,1.6534698176788378,-0.6101834162655198
2.3148577447503733,2.3148577447503733,-0.610183416309058
2.3148577447503733,2.976245671821909,-0.6101834163735337
2.3148577447503733,3.6376335988934443,-0.6101834167530221
2.3148577447503733,4.29902152596498,-0.6101834164097826
2.3148577447503733,4.960409453036515,-0.6101834166265281
2.3148577447503733,5.621797380108051,-0.6101834165149423
2.3148577447503733,6.283185307179586,-0.6101834164425427
2.976245671821909,-6.283185307179586,6.988696660320185
2.976245671821909,-5.621797380108051,6.988696660260121
2.976245671821909,-4.960409453036515,6.988696660484891
2.976245671821909,-4.29902152596498,6.988696660635751
2.976245671821909,-3.6376335988934447,6.988696660543682
2.976245671821909,-2.9762456718219092,6.988696660624143
2.976245671821909,-2.314857744750374,6.988696660808432
2.976245671821909,-1.6534698176788387,6.988696658490505
2.976245671821909,-0.9920818906073032,6.988696659625775
