phi,rho,detJ
2.3148577447503733,5.621797380108051,-0.6101834165414755
2.3148577447503733,6.283185307179586,-0.6101834163852123
2.976245671821909,-6.283185307179586,6.988696660350521
2.976245671821909,-5.621797380108051,6.988696660635508
2.976245671821909,-4.960409453036515,6.988696660415075
2.976245671821909,-4.29902152596498,6.988696660202962
2.976245671821909,-3.6376335988934447,6.988696660884169
2.976245671821909,-2.9762456718219092,6.98869666056998
2.976245671821909,-2.314857744750374,6.988696660578204
2.976245671821909,-1.6534698176788387,6.9886966588284185
2.976245671821909,-0.9920818906073032,6.988696659734943
2.976245671821909,-0.33069396353576774,6.988696658547085
2.976245671821909,0.33069396353576774,6.988696658588613
2.976245671821909,0.9920818906073032,6.988696659625775
2.976245671821909,1.6534698176788378,6.988696658445571
2.976245671821909,2.3148577447503733,6.988696660819498
2.976245671821909,2.976245671821909,6.988696660417964
2.976245671821909,3.6376335988934443,6.988696660703704
2.976245671821909,4.29902152596498,6.988696660635751
2.976245671821909,4.960409453036515,6.988696660484891
2.976245671821909,5.621797380108051,6.988696660260121
2.976245671821909,6.283185307179586,6.988696660320185
3.6376335988934443,-6.283185307179586,4.041430624846189
3.6376335988934443,-5.621797380108051,4.04143062483266
3.6376335988934443,-4.960409453036515,4.041430625036088
3.6376335988934443,-4.29902152596498,4.041430625262707
3.6376335988934443,-3.6376335988934447,4.041430625346701
3.6376335988934443,-2.9762456718219092,4.041430625100925
3.6376335988934443,-2.314857744750374,4.0414306250967895
3.6376335988934443,-1.6534698176788387,4.041430624012345
3.6376335988934443,-0.9920818906073032,4.041430624475622
3.6376335988934443,-0.33069396353576774,4.041430623957519
3.6376335988934443,0.33069396353576774,4.041430624264458
3.6376335988934443,0.9920818906073032,4.041430624162326
3.6376335988934443,1.6534698176788378,4.041430623970911
3.6376335988934443,2.3148577447503733,4.041430625175674
3.6376335988934443,2.976245671821909,4.04143062515073
3.6376335988934443,3.6376335988934443,4.041430625087726
3.6376335988934443,4.29902152596498,4.041430624836835
3.6376335988934443,4.960409453036515,4.0414306253016035
3.6376335988934443,5.621797380108051,4.041430624705309
3.6376335988934443,6.283185307179586,4.041430624808003
4.29902152596498,-6.283185307179586,-5.00447152904036
4.29902152596498,-5.621797380108051,-5.004471528332947
4.29902152596498,-4.960409453036515,-5.004471529062972
4.29902152596498,-4.29902152596498,-5.004471529208843
4.29902152596498,-3.6376335988934447,-5.004471529710297
4.29902152596498,-2.9762456718219092,-5.004471529303832
4.29902152596498,-2.314857744750374,-5.004471529219342
4.29902152596498,-1.6534698176788387,-5.004471528085519
4.29902152596498,-0.9920818906073032,-5.004471528384366
4.29902152596498,-0.33069396353576774,-5.004471528021398
4.29902152596498,0.33069396353576774,-5.004471528009721
4.29902152596498,0.9920818906073032,-5.004471527923215
4.29902152596498,1.6534698176788378,-5.0044715278974286
4.29902152596498,2.3148577447503733,-5.004471529209017
4.29902152596498,2.976245671821909,-5.0044715290950705
4.29902152596498,3.6376335988934443,-5.004471529536252
4.29902152596498,4.29902152596498,-5.004471529445409
4.29902152596498,4.960409453036515,-5.004471528863664
4.29902152596498,5.621797380108051,-5.004471528327666
4.29902152596498,6.283185307179586,-5.004471529028166
4.960409453036515,-6.283185307179586,-6.498480886972738
4.960409453036515,-5.621797380108051,-6.498480887160491
4.960409453036515,-4.960409453036515,-6.498480887370015
4.960409453036515,-4.29902152596498,-6.498480887360868
