theta,phi,lambda_phi,lambda_plus,lambda_minus,detJ,gap_active_scale,anisotropy_ratio
6.283185307179586,-3.141592653589793,2.718281828459045,2.7182818284590455,2.7182818284590446,7.38905609893065,8.881784197001252e-16,1.0000000000000002
-6.283185307179586,-2.356194490192345,2.718281828459045,5.43656365691809,0.0,-1.3573475850413473e-15,5.43656365691809,inf
-5.497787143782138,-2.356194490192345,2.718281828459045,5.43656365691809,0.0,-1.3573475850413473e-15,5.43656365691809,inf
-4.71238898038469,-2.356194490192345,2.718281828459045,5.43656365691809,0.0,-1.3573475850413473e-15,5.43656365691809,inf
-3.9269908169872414,-2.356194490192345,2.718281828459045,5.43656365691809,0.0,-1.3573475850413473e-15,5.43656365691809,inf
-3.141592653589793,-2.356194490192345,2.718281828459045,5.43656365691809,0.0,-1.3573475850413473e-15,5.43656365691809,inf
-2.356194490192345,-2.356194490192345,2.718281828459045,5.43656365691809,0.0,-1.3573475850413473e-15,5.43656365691809,inf
-1.5707963267948966,-2.356194490192345,2.718281828459045,5.43656365691809,0.0,-1.3573475850413473e-15,5.43656365691809,inf
-0.7853981633974483,-2.356194490192345,2.718281828459045,5.43656365691809,0.0,-1.3573475850413473e-15,5.43656365691809,inf
0.0,-2.356194490192345,2.718281828459045,5.43656365691809,0.0,-1.3573475850413473e-15,5.43656365691809,inf
0.7853981633974483,-2.356194490192345,2.718281828459045,5.43656365691809,0.0,-1.3573475850413473e-15,5.43656365691809,inf
1.5707963267948966,-2.356194490192345,2.718281828459045,5.43656365691809,0.0,-1.3573475850413473e-15,5.43656365691809,inf
2.356194490192344,-2.356194490192345,2.718281828459045,5.43656365691809,0.0,-1.3573475850413473e-15,5.43656365691809,inf
3.141592653589793,-2.356194490192345,2.718281828459045,5.43656365691809,0.0,-1.3573475850413473e-15,5.43656365691809,inf
3.9269908169872423,-2.356194490192345,2.718281828459045,5.43656365691809,0.0,-1.3573475850413473e-15,5.43656365691809,inf
4.71238898038469,-2.356194490192345,2.718281828459045,5.43656365691809,0.0,-1.3573475850413473e-15,5.43656365691809,inf
5.497787143782137,-2.356194490192345,2.718281828459045,5.43656365691809,0.0,-1.3573475850413473e-15,5.43656365691809,inf
