var1,var2,E_theta_i,E_theta_j,E_theta_k,E_phi_i,E_phi_j,E_phi_k
-6.283185307179586,4.3791897595494085,-0.786053094742787,-0.6181589862206056,4.898587196589413e-16,0.6181589862206056,-0.786053094742787,0.0
-6.283185307179586,4.506122796058088,-0.9161084574320705,-0.40093053540661183,4.898587196589413e-16,0.40093053540661183,-0.9161084574320705,0.0
-6.283185307179586,4.633055832566766,-0.9874388886763945,-0.1580013959733488,4.898587196589413e-16,0.1580013959733488,-0.9874388886763945,0.0
-6.283185307179586,4.759988869075444,-0.9954719225730846,0.09505604330418284,4.898587196589412e-16,-0.09505604330418284,-0.9954719225730846,0.0
-6.283185307179586,4.886921905584122,-0.9396926207859086,0.342020143325668,4.898587196589413e-16,-0.342020143325668,-0.9396926207859086,0.0
-6.283185307179586,5.013854942092802,-0.8236765814298318,0.5670598638627723,4.898587196589414e-16,-0.5670598638627723,-0.8236765814298318,0.0
-6.283185307179586,5.14078797860148,-0.6548607339452844,0.7557495743542589,4.898587196589413e-16,-0.7557495743542589,-0.6548607339452844,0.0
-6.283185307179586,5.267721015110158,-0.4440666126057742,0.8959937742913358,4.898587196589412e-16,-0.8959937742913358,-0.4440666126057742,0.0
-6.283185307179586,5.394654051618836,-0.2048066680651917,0.9788024462147785,4.898587196589413e-16,-0.9788024462147785,-0.2048066680651917,0.0
-6.283185307179586,5.521587088127516,0.04758191582374405,0.9988673391830079,4.898587196589413e-16,-0.9988673391830079,0.04758191582374405,0.0
-6.283185307179586,5.648520124636194,0.2969203753282755,0.9549022414440737,4.898587196589412e-16,-0.9549022414440737,0.2969203753282755,0.0
-6.283185307179586,5.775453161144872,0.5272254676105023,0.8497254299495146,4.898587196589414e-16,-0.8497254299495146,0.5272254676105023,0.0
-6.283185307179586,5.902386197653552,0.7237340381050718,0.6900790114821103,4.898587196589413e-16,-0.6900790114821103,0.7237340381050718,0.0
-6.283185307179586,6.02931923416223,0.8738493770697857,0.48619673610046743,4.898587196589413e-16,-0.48619673610046743,0.8738493770697857,0.0
-6.283185307179586,6.156252270670908,0.9679487013963564,0.2511479871810788,4.898587196589413e-16,-0.2511479871810788,0.9679487013963564,0.0
-6.283185307179586,6.283185307179586,1.0,4.898587196589413e-16,4.898587196589413e-16,-4.898587196589413e-16,1.0,0.0
-6.156252270670907,-6.283185307179586,0.9679487013963559,-4.741581115615538e-16,0.2511479871810805,4.898587196589413e-16,1.0,0.0
-6.156252270670907,-6.156252270670907,0.936924688534892,-0.24309836805023552,0.2511479871810805,0.2511479871810805,0.9679487013963559,0.0
-6.156252270670907,-6.029319234162229,0.8458413697507129,-0.4706134993315958,0.2511479871810805,0.48619673610046904,0.8738493770697848,0.0
-6.156252270670907,-5.90238619765355,0.7005374223401426,-0.6679610830249921,0.25114798718108045,0.6900790114821128,0.7237340381050693,0.0
-6.156252270670907,-5.775453161144872,0.5103272067166722,-0.8224906264630929,0.2511479871810805,0.8497254299495146,0.5272254676105023,0.0
-6.156252270670907,-5.648520124636193,0.28740369171712127,-0.9242963845662613,0.25114798718108056,0.9549022414440743,0.29692037532827376,0.0
-6.156252270670907,-5.521587088127515,0.04605685363154194,-0.966852343829426,0.2511479871810805,0.998867339183008,0.047581915823742105,0.0
-6.156252270670907,-5.394654051618836,-0.19824234839101695,-0.9474305567371714,0.2511479871810805,0.9788024462147785,-0.2048066680651917,0.0
-6.156252270670907,-5.267721015110158,-0.42983370100523766,-0.8672760102845181,0.2511479871810805,0.8959937742913358,-0.4440666126057742,0.0
-6.156252270670907,-5.140787978601479,-0.6338715970178039,-0.7315268190770525,0.2511479871810805,0.7557495743542577,-0.6548607339452857,0.0
-6.156252270670907,-5.013854942092801,-0.7972766773655965,-0.5488848588399635,0.2511479871810805,0.5670598638627709,-0.8236765814298328,0.0
-6.156252270670907,-4.886921905584122,-0.9095742520014587,-0.3310579535834759,0.2511479871810805,0.342020143325668,-0.9396926207859086,0.0
-6.156252270670907,-4.759988869075444,-0.963565754731151,-0.09200937367615955,0.25114798718108056,0.09505604330418284,-0.9954719225730846,0.0
