phi,rho,detJ,rankJ
-2.356194490192345,4.71238898038469,0.0,3
-2.356194490192345,5.105088062083414,0.0,3
-2.356194490192345,5.497787143782138,0.0,3
-2.356194490192345,5.890486225480862,0.0,3
-2.356194490192345,6.283185307179586,0.0,3
-1.9634954084936207,-6.283185307179586,-14.20261936215878,4
-1.9634954084936207,-5.890486225480862,-14.202619362158787,4
-1.9634954084936207,-5.497787143782138,-14.20261936215878,4
-1.9634954084936207,-5.105088062083414,-14.202619362158783,4
-1.9634954084936207,-4.71238898038469,-14.20261936215878,4
-1.9634954084936207,-4.319689898685965,-14.202619362158789,4
-1.9634954084936207,-3.9269908169872414,-14.202619362158789,4
-1.9634954084936207,-3.5342917352885173,-14.202619362158789,4
-1.9634954084936207,-3.141592653589793,-14.20261936215878,4
-1.9634954084936207,-2.748893571891069,-14.202619362158787,4
-1.9634954084936207,-2.356194490192345,-14.202619362158785,4
-1.9634954084936207,-1.9634954084936207,-14.202619362158787,4
-1.9634954084936207,-1.5707963267948966,-14.20261936215878,4
-1.9634954084936207,-1.1780972450961724,-14.202619362158787,4
-1.9634954084936207,-0.7853981633974483,-14.202619362158785,4
-1.9634954084936207,-0.39269908169872414,-14.202619362158787,4
-1.9634954084936207,0.0,-14.20261936215878,4
-1.9634954084936207,0.39269908169872414,-14.202619362158787,4
-1.9634954084936207,0.7853981633974483,-14.202619362158785,4
-1.9634954084936207,1.1780972450961724,-14.202619362158787,4
-1.9634954084936207,1.5707963267948966,-14.20261936215878,4
-1.9634954084936207,1.9634954084936207,-14.202619362158787,4
-1.9634954084936207,2.356194490192345,-14.202619362158785,4
-1.9634954084936207,2.748893571891069,-14.202619362158787,4
-1.9634954084936207,3.141592653589793,-14.20261936215878,4
-1.9634954084936207,3.5342917352885173,-14.202619362158789,4
-1.9634954084936207,3.9269908169872414,-14.202619362158789,4
-1.9634954084936207,4.319689898685965,-14.202619362158789,4
-1.9634954084936207,4.71238898038469,-14.20261936215878,4
-1.9634954084936207,5.105088062083414,-14.202619362158783,4
-1.9634954084936207,5.497787143782138,-14.20261936215878,4
-1.9634954084936207,5.890486225480862,-14.202619362158787,4
-1.9634954084936207,6.283185307179586,-14.20261936215878,4
-1.5707963267948966,-6.283185307179586,-20.085536923187675,4
-1.5707963267948966,-5.890486225480862,-20.08553692318767,4
-1.5707963267948966,-5.497787143782138,-20.08553692318767,4
-1.5707963267948966,-5.105088062083414,-20.085536923187668,4
-1.5707963267948966,-4.71238898038469,-20.085536923187675,4
-1.5707963267948966,-4.319689898685965,-20.08553692318767,4
-1.5707963267948966,-3.9269908169872414,-20.08553692318768,4
-1.5707963267948966,-3.5342917352885173,-20.085536923187675,4
-1.5707963267948966,-3.141592653589793,-20.085536923187675,4
-1.5707963267948966,-2.748893571891069,-20.08553692318767,4
-1.5707963267948966,-2.356194490192345,-20.085536923187675,4
-1.5707963267948966,-1.9634954084936207,-20.085536923187664,4
-1.5707963267948966,-1.5707963267948966,-20.085536923187675,4
