theta,phi,rho,norm_dtheta,norm_dphi,norm_drho,cos_theta_phi,cos_theta_rho,cos_phi_rho
-6.283185307179586,1.9634954084936207,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,2.2002332514599957e-32,-0.7071067811865474,4.950524815784991e-32
-6.283185307179586,2.1598449493429825,-4.71238898038469,2.1170000166126752,2.1170000166126752,2.1170000166126752,-3.3003498771899925e-32,-0.9238795325112863,2.475262407892494e-32
-6.283185307179586,2.356194490192345,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,4.950524815784991e-32,-1.0,1.6501749385949968e-32
-6.283185307179586,2.552544031041707,-4.71238898038469,2.1170000166126752,2.1170000166126752,2.1170000166126752,-2.475262407892494e-32,-0.9238795325112865,1.3751457821624968e-33
-6.283185307179586,2.748893571891069,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,-2.2002332514599957e-32,-0.7071067811865477,-2.2002332514599957e-32
-6.283185307179586,2.945243112740431,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,-3.850408190054993e-32,-0.3826834323650904,-1.1001166257299979e-32
-6.283185307179586,3.141592653589793,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,-1.5985726277274384e-32,-2.4492935982947064e-16,-4.4992793479855734e-32
-6.283185307179586,3.3379421944391554,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,1.6501749385949968e-32,0.38268343236508995,5.50058312864999e-32
-6.283185307179586,3.5342917352885173,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,1.1001166257299979e-32,0.7071067811865474,1.1001166257299979e-32
-6.283185307179586,3.730641276137879,-4.71238898038469,2.1170000166126752,2.1170000166126752,2.1170000166126752,-3.3003498771899925e-32,0.9238795325112863,2.475262407892494e-32
-6.283185307179586,3.9269908169872414,-4.71238898038469,2.1170000166126752,2.117000016612675,2.1170000166126752,6.050641441514987e-32,0.9999999999999998,-1.1001166257299977e-32
-6.283185307179586,4.123340357836604,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,1.1001166257299979e-32,0.9238795325112866,-3.850408190054993e-32
-6.283185307179586,4.319689898685965,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,7.700816380109986e-32,0.7071067811865482,-1.6501749385949968e-32
-6.283185307179586,4.516039439535327,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,-1.1001166257299979e-32,0.38268343236509045,-1.6501749385949968e-32
-6.283185307179586,4.71238898038469,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,-1.9762569013116167e-33,3.6739403974420594e-16,2.0520139838616245e-32
-6.283185307179586,4.908738521234052,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,-5.500583128649989e-33,-0.38268343236508984,3.850408190054993e-32
-6.283185307179586,5.105088062083414,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,-1.1001166257299979e-32,-0.7071067811865478,5.50058312864999e-32
-6.283185307179586,5.301437602932776,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,-1.3751457821624975e-32,-0.9238795325112864,1.3751457821624975e-32
-6.283185307179586,5.497787143782138,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,4.4004665029199915e-32,-1.0,-1.6501749385949968e-32
-6.283185307179586,5.6941366846315,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,1.1001166257299979e-32,-0.9238795325112866,-3.850408190054993e-32
-6.283185307179586,5.890486225480862,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,1.1001166257299979e-32,-0.7071067811865485,5.500583128649989e-33
-6.283185307179586,6.086835766330224,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,-5.500583128649989e-33,-0.38268343236509056,-3.3003498771899936e-32
-6.283185307179586,6.283185307179586,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,-3.197145255454877e-32,-4.898587196589413e-16,-1.9762569013116167e-33
-6.283185307179586,-6.283185307179586,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,3.197145255454877e-32,4.898587196589413e-16,-2.801893875192553e-32
-6.283185307179586,-6.086835766330224,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,-1.6501749385949968e-32,0.38268343236509056,5.500583128649989e-33
-6.283185307179586,-5.890486225480862,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,8.250874692974984e-33,0.7071067811865485,6.875728910812487e-33
-6.283185307179586,-5.6941366846315,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,5.500583128649989e-33,0.9238795325112866,-1.6501749385949968e-32
-6.283185307179586,-5.497787143782138,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,-3.3003498771899936e-32,1.0,-2.2002332514599957e-32
