seed_id,omega,theta,phi,rho,regularity_ok,final_mass,mass_half_radius,mass_90_radius,integrated_R
theta_rho_slice_30,0.5,-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_31,0.5,-1.5707963267948966,-1.5707963267948966,0.0,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_32,0.5,-1.5707963267948966,-1.5707963267948966,1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_33,0.5,-1.5707963267948966,-1.5707963267948966,3.141592653589793,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_34,0.5,-1.5707963267948966,-1.5707963267948966,4.71238898038469,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_35,0.5,-1.5707963267948966,-1.5707963267948966,6.283185307179586,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_36,0.5,0.0,-1.5707963267948966,-6.283185307179586,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_37,0.5,0.0,-1.5707963267948966,-4.71238898038469,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_38,0.5,0.0,-1.5707963267948966,-3.141592653589793,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_39,0.5,0.0,-1.5707963267948966,-1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_40,0.5,0.0,-1.5707963267948966,0.0,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_41,0.5,0.0,-1.5707963267948966,1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_42,0.5,0.0,-1.5707963267948966,3.141592653589793,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_43,0.5,0.0,-1.5707963267948966,4.71238898038469,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_44,0.5,0.0,-1.5707963267948966,6.283185307179586,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_45,0.5,1.5707963267948966,-1.5707963267948966,-6.283185307179586,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_46,0.5,1.5707963267948966,-1.5707963267948966,-4.71238898038469,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_47,0.5,1.5707963267948966,-1.5707963267948966,-3.141592653589793,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_48,0.5,1.5707963267948966,-1.5707963267948966,-1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_49,0.5,1.5707963267948966,-1.5707963267948966,0.0,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_50,0.5,1.5707963267948966,-1.5707963267948966,1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_51,0.5,1.5707963267948966,-1.5707963267948966,3.141592653589793,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_52,0.5,1.5707963267948966,-1.5707963267948966,4.71238898038469,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_53,0.5,1.5707963267948966,-1.5707963267948966,6.283185307179586,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_54,0.5,3.141592653589793,-1.5707963267948966,-6.283185307179586,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
