family,dimension_family,free_variables,resolution,sample_count,trace_full_min,trace_full_max,trace_u_min,trace_u_max,trace_split_min,trace_split_max,skyrme_density_max,topological_density_abs_max
lifted_chart_linear,2D,theta|phi,33,1089,0.2234995184336356,0.7694000000000001,0.2090995184336356,0.7550000000000001,0.2234995184336356,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,2D,theta|rho,33,1089,0.2644,0.7694000000000001,0.25,0.7550000000000001,0.2644,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,2D,phi|rho,33,1089,0.22299869544482462,0.7694000000000001,0.2085986954448246,0.7550000000000001,0.22299869544482462,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,2D,omega|theta,129,16641,0.07015000124358468,3.4757844170178513,0.30250444655086356,0.7550000000000001,0.3169044465508636,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,2D,omega|phi,129,16641,0.049473876642319996,3.4757844170178513,0.20909951843363556,0.7550000000000001,0.22349951843363555,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,2D,omega|rho,129,16641,0.05852761149511629,3.4757844170178513,0.25,0.7550000000000001,0.2644,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,2D,theta|phi,129,16641,0.2234995184336356,0.7694000000000001,0.2090995184336356,0.7550000000000001,0.2234995184336356,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,2D,theta|rho,129,16641,0.2644,0.7694000000000001,0.25,0.7550000000000001,0.2644,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,2D,phi|rho,129,16641,0.22297818842887024,0.7694000000000001,0.20857818842887027,0.7550000000000001,0.22297818842887027,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,3D,theta|phi|rho,17,4913,0.22299869544482462,0.7694000000000001,0.2085986954448246,0.7550000000000001,0.22299869544482462,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,3D,omega|phi|rho,17,4913,0.0493630144134359,3.4757844170178513,0.20859869544482454,0.7550000000000001,0.22299869544482456,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,3D,omega|theta|rho,17,4913,0.05852761149511629,3.4757844170178513,0.25,0.7550000000000001,0.2644,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,3D,omega|theta|phi,17,4913,0.049473876642319996,3.4757844170178513,0.20909951843363558,0.7550000000000001,0.22349951843363558,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,3D,theta|phi|rho,33,35937,0.22299869544482462,0.7694000000000001,0.2085986954448246,0.7550000000000001,0.22299869544482462,0.7694000000000001,0.18750625,0.12375000000000001
lifted_chart_linear,3D,omega|phi|rho,33,35937,0.0493630144134359,3.4757844170178513,0.20859869544482454,0.7550000000000001,0.22299869544482456,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,3D,omega|theta|rho,33,35937,0.05852761149511629,3.4757844170178513,0.25,0.7550000000000001,0.2644,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,3D,omega|theta|phi,33,35937,0.049473876642319996,3.4757844170178513,0.20909951843363558,0.7550000000000001,0.22349951843363558,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,4D,omega|theta|phi|rho,11,14641,0.04936332744585956,3.4757844170178513,0.20860010957690175,0.7550000000000001,0.22300010957690175,0.7694000000000002,0.18750625000000007,0.12375000000000001
lifted_chart_linear,4D,omega|theta|phi|rho,17,83521,0.0493630144134359,3.4757844170178513,0.20859869544482454,0.7550000000000001,0.22299869544482456,0.7694000000000002,0.18750625000000007,0.12375000000000001
