rho,norm_dtheta,norm_dphi,norm_drho,cos_theta_phi,cos_theta_rho,cos_phi_rho,sigma_max,sigma_mid,sigma_min,condition
-1.8653206380689396,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,0.0,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-1.7671458676442586,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-1.6689710972195777,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,0.0,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-1.5707963267948966,2.117000016612675,2.117000016612675,2.117000016612675,0.0,5.500583128649989e-33,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-1.4726215563702154,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-1.2386212064254264e-17,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-1.3744467859455345,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-1.2762720155208536,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,-4.954484825701704e-17,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-1.1780972450961724,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-9.908969651403412e-17,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-1.0799224746714913,2.117000016612675,2.117000016612675,2.117000016612675,0.0,4.954484825701706e-17,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-0.9817477042468103,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,0.0,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-0.8835729338221293,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,9.908969651403408e-17,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-0.7853981633974483,2.117000016612675,2.117000016612675,2.117000016612675,0.0,9.908969651403412e-17,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-0.6872233929727672,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,-9.908969651403408e-17,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-0.5890486225480862,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-4.954484825701706e-17,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-0.4908738521234052,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,0.0,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-0.39269908169872414,2.117000016612675,2.117000016612675,2.117000016612675,0.0,9.908969651403412e-17,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-0.2945243112740431,2.117000016612675,2.117000016612675,2.117000016612675,0.0,4.954484825701706e-17,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-0.19634954084936207,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
