theta,phi,rho,norm_dtheta,norm_dphi,norm_drho,cos_theta_phi,cos_theta_rho,cos_phi_rho,detJ,rankJ
-3.141592653589793,-1.1780972450961724,2.356194490192345,1.0,1.0,1.0,6.938893903907228e-17,-0.7071067811865477,2.7755575615628914e-17,-0.7071067811865475,4
-3.141592653589793,-1.1780972450961724,2.748893571891069,1.0,1.0,1.0,-1.3877787807814457e-17,-0.7071067811865477,-2.7755575615628914e-17,-0.7071067811865474,4
-3.141592653589793,-1.1780972450961724,3.141592653589793,1.0,1.0,1.0,-3.0814879110195774e-33,-0.7071067811865477,3.0814879110195774e-33,-0.7071067811865475,4
-3.141592653589793,-0.7853981633974483,-3.141592653589793,1.0,1.0,1.0,-1.0211152680264368e-32,-1.0,-1.0211152680264368e-32,0.0,3
-3.141592653589793,-0.7853981633974483,-2.748893571891069,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,3
-3.141592653589793,-0.7853981633974483,-2.356194490192345,1.0,1.0,1.0,8.326672684688674e-17,-1.0,8.326672684688674e-17,0.0,3
-3.141592653589793,-0.7853981633974483,-1.9634954084936207,1.0,0.9999999999999999,1.0,-2.775557561562892e-17,-1.0,0.0,0.0,3
-3.141592653589793,-0.7853981633974483,-1.5707963267948966,1.0,1.0,1.0,-2.465190328815662e-32,-1.0,6.162975822039155e-33,0.0,3
-3.141592653589793,-0.7853981633974483,-1.1780972450961724,0.9999999999999999,1.0,0.9999999999999999,2.775557561562892e-17,-1.0000000000000002,-2.775557561562892e-17,0.0,3
-3.141592653589793,-0.7853981633974483,-0.7853981633974483,1.0,1.0,1.0,8.326672684688674e-17,-1.0,8.326672684688674e-17,0.0,3
-3.141592653589793,-0.7853981633974483,-0.39269908169872414,1.0,0.9999999999999999,1.0,-2.775557561562892e-17,-1.0,0.0,0.0,3
-3.141592653589793,-0.7853981633974483,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,3
-3.141592653589793,-0.7853981633974483,0.39269908169872414,0.9999999999999999,1.0,0.9999999999999999,-2.775557561562892e-17,-1.0000000000000002,0.0,0.0,3
-3.141592653589793,-0.7853981633974483,0.7853981633974483,1.0,1.0,1.0,8.326672684688674e-17,-1.0,-8.326672684688674e-17,0.0,3
-3.141592653589793,-0.7853981633974483,1.1780972450961724,1.0,0.9999999999999999,1.0,2.775557561562892e-17,-1.0,2.775557561562892e-17,0.0,3
-3.141592653589793,-0.7853981633974483,1.5707963267948966,1.0,1.0,1.0,-2.465190328815662e-32,-1.0,-6.162975822039155e-33,0.0,3
-3.141592653589793,-0.7853981633974483,1.9634954084936207,0.9999999999999999,1.0,0.9999999999999999,-2.775557561562892e-17,-1.0000000000000002,0.0,0.0,3
-3.141592653589793,-0.7853981633974483,2.356194490192345,1.0,1.0,1.0,8.326672684688674e-17,-1.0,-8.326672684688674e-17,0.0,3
-3.141592653589793,-0.7853981633974483,2.748893571891069,1.0,1.0,1.0,0.0,-1.0000000000000002,0.0,0.0,3
-3.141592653589793,-0.7853981633974483,3.141592653589793,1.0,1.0,1.0,-1.0211152680264368e-32,-1.0,1.0211152680264368e-32,0.0,3
-3.141592653589793,-0.39269908169872414,-3.141592653589793,1.0,1.0,1.0,1.8488927466117464e-32,-0.7071067811865476,1.8488927466117464e-32,0.7071067811865475,4
-3.141592653589793,-0.39269908169872414,-2.748893571891069,1.0,1.0,1.0,1.3877787807814457e-17,-0.7071067811865476,0.0,0.7071067811865474,4
