success,reason,m,r,omega,A0_base
False,horizon,3.416592012198389e+17,6.710099999999901,1.6842105263157894,0.13
False,horizon,2.4338485196896027e+19,6.100099999999914,1.6842105263157894,0.14
False,horizon,5.9872042877107905e+19,5.580099999999925,1.6842105263157894,0.15000000000000002
False,horizon,2.5605505198423955,5.120099999999935,1.6842105263157894,0.16
False,horizon,3.3050078705811417e+20,4.730099999999943,1.6842105263157894,0.17
False,horizon,2.185620788580514,4.370099999999951,1.6842105263157894,0.18000000000000002
False,horizon,2.033690564643632,4.060099999999958,1.6842105263157894,0.19
False,horizon,1.8942847080220147,3.7800999999999636,1.6842105263157894,0.2
True,completed,0.4302293469450658,20.00010000000033,1.894736842105263,0.01
True,completed,1.6855347558294262,20.00010000000033,1.894736842105263,0.02
True,completed,3.9116015714536605,20.00010000000033,1.894736842105263,0.03
True,completed,7.445106517840691,20.00010000000033,1.894736842105263,0.04
False,horizon,8.71482831208676,17.420099999999927,1.894736842105263,0.05
False,horizon,6.815064978206742,13.630099999999754,1.894736842105263,0.060000000000000005
False,horizon,3.0948224393821612e+26,11.200099999999805,1.894736842105263,0.06999999999999999
False,horizon,4.7387035169754625,9.470099999999842,1.894736842105263,0.08
False,horizon,1.6710298631847964e+55,8.18009999999987,1.894736842105263,0.09
False,horizon,3.583311141594287,7.1600999999998916,1.894736842105263,0.09999999999999999
False,horizon,3.170728128616592,6.340099999999909,1.894736842105263,0.11
False,horizon,2.8390995002914905,5.670099999999923,1.894736842105263,0.12
False,horizon,2.550152667140855,5.1000999999999355,1.894736842105263,0.13
False,horizon,2.311540035327906,4.620099999999946,1.894736842105263,0.14
False,horizon,1.354746654913252e+21,4.210099999999954,1.894736842105263,0.15000000000000002
False,horizon,3.8839680523807805e+21,3.850099999999962,1.894736842105263,0.16
False,horizon,1.7680640545551842,3.530099999999969,1.894736842105263,0.17
False,horizon,1.6272621415404758,3.250099999999975,1.894736842105263,0.18000000000000002
False,horizon,1.500302406670145,3.0000999999999802,1.894736842105263,0.19
False,horizon,1.3913220008321137,2.780099999999985,1.894736842105263,0.2
True,completed,0.6501764282867966,20.00010000000033,2.1052631578947367,0.01
True,completed,2.5882355023575347,20.00010000000033,2.1052631578947367,0.02
True,completed,6.241426383069955,20.00010000000033,2.1052631578947367,0.03
False,horizon,8.86746349104991,17.730099999999975,2.1052631578947367,0.04
False,horizon,1.611720441177496e+38,13.150099999999764,2.1052631578947367,0.05
False,horizon,5.2190128765020445,10.430099999999822,2.1052631578947367,0.060000000000000005
False,horizon,4.302073485726191,8.60009999999986,2.1052631578947367,0.06999999999999999
False,horizon,6.9121903996884536e+16,7.280099999999889,2.1052631578947367,0.08
False,horizon,3.1303831741996073,6.260099999999911,2.1052631578947367,0.09
False,horizon,8.074179994036255e+17,5.470099999999928,2.1052631578947367,0.09999999999999999
False,horizon,2.9125065713215806e+20,4.820099999999941,2.1052631578947367,0.11
False,horizon,2.1426481766173855,4.280099999999953,2.1052631578947367,0.12
False,horizon,1.9174677953365802,3.8300999999999625,2.1052631578947367,0.13
False,horizon,1.4656155864955045e+22,3.4500999999999706,2.1052631578947367,0.14
False,horizon,1.5633254314679763,3.1200999999999777,2.1052631578947367,0.15000000000000002
False,horizon,1.9598866706359077e+23,2.8400999999999836,2.1052631578947367,0.16
False,horizon,6.523858340717682e+23,2.590099999999989,2.1052631578947367,0.17
False,horizon,1.1891606810299482,2.3700999999999937,2.1052631578947367,0.18000000000000002
False,horizon,8.590710056424536e+24,2.1800999999999977,2.1052631578947367,0.19
False,horizon,3.3659485399392054e+25,2.0101000000000013,2.1052631578947367,0.2
True,completed,0.9827436025434583,20.00010000000033,2.3157894736842106,0.01
True,completed,4.046186466624515,20.00010000000033,2.3157894736842106,0.02
False,horizon,9.958509367413571,19.820100000000302,2.3157894736842106,0.03
False,horizon,6.68262883573925,13.36009999999976,2.3157894736842106,0.04
False,horizon,7110391944245543.0,10.07009999999983,2.3157894736842106,0.05
False,horizon,2.2490696671678838e+17,8.020099999999873,2.3157894736842106,0.060000000000000005
False,horizon,1.1058070655100772e+19,6.6000999999999035,2.3157894736842106,0.06999999999999999
False,horizon,4.841457081798532e+19,5.560099999999926,2.3157894736842106,0.08
False,horizon,2.3755154392573403,4.750099999999943,2.3157894736842106,0.09
False,horizon,1.7402019359011027e+21,4.120099999999956,2.3157894736842106,0.09999999999999999
False,horizon,1.80082937967021,3.6000999999999674,2.3157894736842106,0.11
False,horizon,4.102022683526278e+22,3.1800999999999764,2.3157894736842106,0.12
False,horizon,1.4104908955115665,2.820099999999984,2.3157894736842106,0.13
False,horizon,1.2605791123291603,2.5200999999999905,2.3157894736842106,0.14
False,horizon,4.523453069636684e+24,2.270099999999996,2.3157894736842106,0.15000000000000002
False,horizon,2.2611364554275802e+25,2.0501000000000005,2.3157894736842106,0.16
False,horizon,1.2506019297904392e+26,1.8601000000000014,2.3157894736842106,0.17
False,horizon,0.8484621860215562,1.6901000000000013,2.3157894736842106,0.18000000000000002
False,horizon,1.8361839318042196e+27,1.5501000000000011,2.3157894736842106,0.19
False,horizon,1.5435727966428713e+28,1.420100000000001,2.3157894736842106,0.2
True,completed,1.4902976685905065,20.00010000000033,2.526315789473684,0.01
True,completed,6.466549205895256,20.00010000000033,2.526315789473684,0.02
False,horizon,7.3919252850039205,14.78009999999973,2.526315789473684,0.03
False,horizon,1.2686820133562654e+16,10.230099999999826,2.526315789473684,0.04
False,horizon,2.0499949645751345e+18,7.740099999999879,2.526315789473684,0.05
False,horizon,3.0740790005633096,6.140099999999913,2.526315789473684,0.060000000000000005
False,horizon,2.5139322432586644,5.020099999999937,2.526315789473684,0.06999999999999999
False,horizon,2.0982857117622356,4.190099999999955,2.526315789473684,0.08
False,horizon,1.7760183983627178,3.5500999999999685,2.526315789473684,0.09
False,horizon,1.5289514530658854,3.050099999999979,2.526315789473684,0.09999999999999999
False,horizon,1.0360827316216947e+26,2.6500999999999877,2.526315789473684,0.11
False,horizon,1.1563467130395102,2.310099999999995,2.526315789473684,0.12
False,horizon,2.345625458422665e+25,2.0401000000000007,2.526315789473684,0.13
False,horizon,1.6589573008493215e+26,1.8101000000000014,2.526315789473684,0.14
False,horizon,0.8061047093680219,1.6101000000000012,2.526315789473684,0.15000000000000002
