r,omega,theta,phi,rho,mass
2.7401000000000004,-3.4242023729790994,0.0,0.0,0.0,0.00046412563846134403
2.7501,-3.4242916425321175,0.0,0.0,0.0,0.00046919152835146614
2.7601000000000004,-3.424381240246934,0.0,0.0,0.0,0.00047429379838121333
2.7701000000000002,-3.424471166151942,0.0,0.0,0.0,0.0004794325725456485
2.7801000000000005,-3.424561420275704,0.0,0.0,0.0,0.00048460797471565884
2.7901000000000002,-3.42465200264695,0.0,0.0,0.0,0.0004898201286379542
2.8001000000000005,-3.424742913294574,0.0,0.0,0.0,0.0004950691579350695
2.8101000000000003,-3.4248341522476404,0.0,0.0,0.0,0.0005003551861053621
2.8201,-3.4249257195353793,0.0,0.0,0.0,0.0005056783365230136
2.8301000000000003,-3.425017615187188,0.0,0.0,0.0,0.0005110387324380298
2.8401,-3.4251098392326313,0.0,0.0,0.0,0.0005164364969762391
2.8501000000000003,-3.425202391701441,0.0,0.0,0.0,0.0005218717531392948
2.8601,-3.425295272623516,0.0,0.0,0.0,0.0005273446238046728
2.8701000000000003,-3.425388482028922,0.0,0.0,0.0,0.0005328552317256734
2.8801,-3.425482019947893,0.0,0.0,0.0,0.0005384036995314202
2.8901000000000003,-3.425575886410829,0.0,0.0,0.0,0.0005439901497268611
2.9001,-3.425670081448297,0.0,0.0,0.0,0.0005496147046927667
2.9101000000000004,-3.4257646050910324,0.0,0.0,0.0,0.0005552774866857326
2.9201,-3.425859457369937,0.0,0.0,0.0,0.000560978617838177
2.9301000000000004,-3.425954638316079,0.0,0.0,0.0,0.0005667182201583422
2.9401,-3.4260501479606957,0.0,0.0,0.0,0.0005724964155302942
2.9501000000000004,-3.4261459863351895,0.0,0.0,0.0,0.0005783133257139231
2.9601,-3.4262421534711307,0.0,0.0,0.0,0.0005841690723449415
2.9701000000000004,-3.426338649400258,0.0,0.0,0.0,0.0005900637769348875
2.9801,-3.4264354741544745,0.0,0.0,0.0,0.000595997560871121
2.9901000000000004,-3.4265326277658534,0.0,0.0,0.0,0.0006019705454168272
3.0001,-3.4266301102666334,0.0,0.0,0.0,0.0006079828517110136
3.0101000000000004,-3.42672792168922,0.0,0.0,0.0,0.0006140346007685129
3.0201000000000002,-3.426826062066188,0.0,0.0,0.0,0.00062012591347998
3.0301000000000005,-3.426924531430276,0.0,0.0,0.0,0.0006262569106118949
3.0401000000000002,-3.427023329814393,0.0,0.0,0.0,0.0006324277128065601
3.0501000000000005,-3.4271224572516132,0.0,0.0,0.0,0.0006386384405821025
3.0601000000000003,-3.4272219137751785,0.0,0.0,0.0,0.0006448892143324722
3.0701000000000005,-3.4273216994184983,0.0,0.0,0.0,0.000651180154327444
3.0801000000000003,-3.4274218142151485,0.0,0.0,0.0,0.0006575113807126148
3.0901,-3.4275222581988727,0.0,0.0,0.0,0.0006638830135094068
3.1001000000000003,-3.427623031403581,0.0,0.0,0.0,0.0006702951726150653
3.1101,-3.427724133863352,0.0,0.0,0.0,0.0006767479778026586
3.1201000000000003,-3.4278255656124292,0.0,0.0,0.0,0.00068324154872108
3.1301,-3.4279273266852255,0.0,0.0,0.0,0.0006897760048950451
3.1401000000000003,-3.42802941711632,0.0,0.0,0.0,0.0006963514657250946
3.1501,-3.4281318369404583,0.0,0.0,0.0,0.0007029680504875918
3.1601000000000004,-3.4282345861925547,0.0,0.0,0.0,0.0007096258783347241
3.1701,-3.4283376649076893,0.0,0.0,0.0,0.0007163250682945027
3.1801000000000004,-3.4284410731211095,0.0,0.0,0.0,0.0007230657392707628
3.1901,-3.428544810868231,0.0,0.0,0.0,0.0007298480100431623
3.2001000000000004,-3.4286488781846347,0.0,0.0,0.0,0.0007366719992671841
3.2101,-3.4287532751060708,0.0,0.0,0.0,0.0007435378254741333
3.2201000000000004,-3.428858001668455,0.0,0.0,0.0,0.0007504456070711404
3.2301,-3.428963057907871,0.0,0.0,0.0,0.0007573954623411579
3.2401000000000004,-3.429068443860569,0.0,0.0,0.0,0.0007643875094429633
3.2501,-3.429174159562968,0.0,0.0,0.0,0.0007714218664111572
3.2601000000000004,-3.4292802050516515,0.0,0.0,0.0,0.0007784986511561644
3.2701000000000002,-3.429386580363372,0.0,0.0,0.0,0.0007856179814642323
3.2801000000000005,-3.429493285535049,0.0,0.0,0.0,0.0007927799749974332
3.2901000000000002,-3.4296003206037686,0.0,0.0,0.0,0.0007999847492936626
