r,omega,theta,phi,rho,mass
14.1901,-3.758998247953711,3.14159366307141,0.0,0.0,0.05002180992490282
14.2001,-3.7595192654188843,3.1415936630714447,0.0,0.0,0.05010909652470999
14.2101,-3.760040745120285,3.14159366307148,0.0,0.0,0.0501964478524701
14.2201,-3.7605626872786138,3.1415936630715144,0.0,0.0,0.05028386381982823
14.2301,-3.761085092114769,3.141593663071549,0.0,0.0,0.05037134433823692
14.2401,-3.761607959849847,3.1415936630715837,0.0,0.0,0.05045888931895634
14.2501,-3.762131290705139,3.141593663071618,0.0,0.0,0.05054649867305421
14.2601,-3.7626550849021365,3.1415936630716526,0.0,0.0,0.050634172311405795
14.2701,-3.763179342662527,3.141593663071687,0.0,0.0,0.05072191014469396
14.280100000000001,-3.7637040642081945,3.1415936630717214,0.0,0.0,0.05080971208340913
14.2901,-3.764229249761222,3.141593663071756,0.0,0.0,0.05089757803784925
14.3001,-3.764754899543889,3.14159366307179,0.0,0.0,0.05098550791811989
14.3101,-3.7652810137786723,3.1415936630718244,0.0,0.0,0.05107350163413418
14.3201,-3.765807592688246,3.1415936630718586,0.0,0.0,0.05116155909561279
14.3301,-3.7663346364954817,3.141593663071893,0.0,0.0,0.051249680212083974
14.3401,-3.766862145423448,3.141593663071927,0.0,0.0,0.05133786489288355
14.3501,-3.7673901196954116,3.141593663071961,0.0,0.0,0.05142611304715491
14.3601,-3.767918559534836,3.141593663071995,0.0,0.0,0.05151442458384899
14.3701,-3.7684474651653814,3.141593663072029,0.0,0.0,0.05160279941172433
14.3801,-3.7689768368109067,3.141593663072063,0.0,0.0,0.051691237439347
14.3901,-3.7695066746954673,3.141593663072097,0.0,0.0,0.05177973857509065
14.4001,-3.7700369790433155,3.141593663072131,0.0,0.0,0.0518683027271365
14.4101,-3.770567750078902,3.1415936630721646,0.0,0.0,0.05195692980347334
14.4201,-3.7710989880268744,3.1415936630721983,0.0,0.0,0.05204561971189754
14.4301,-3.771630693112077,3.141593663072232,0.0,0.0,0.052134372360013
14.4401,-3.7721628655595523,3.141593663072266,0.0,0.0,0.05222318765523121
14.4501,-3.77269550559454,3.1415936630722996,0.0,0.0,0.052312065504771244
14.4601,-3.773228613442477,3.141593663072333,0.0,0.0,0.05240100581565968
14.4701,-3.7737621893289965,3.1415936630723666,0.0,0.0,0.052490008494730726
14.4801,-3.774296233479931,3.1415936630724,0.0,0.0,0.05257907344862616
14.4901,-3.774830746121309,3.1415936630724337,0.0,0.0,0.052668200583795274
14.5001,-3.7753657274793566,3.141593663072467,0.0,0.0,0.05275738980649497
14.5101,-3.775901177780497,3.1415936630725003,0.0,0.0,0.05284664102278971
14.5201,-3.776437097251352,3.1415936630725336,0.0,0.0,0.0529359541385515
14.530100000000001,-3.7769734861187385,3.141593663072567,0.0,0.0,0.05302532905945995
14.5401,-3.7775103446096727,3.1415936630726002,0.0,0.0,0.05311476569100219
14.5501,-3.778047672951367,3.1415936630726335,0.0,0.0,0.05320426393847297
14.5601,-3.778585471371232,3.1415936630726664,0.0,0.0,0.05329382370697455
14.5701,-3.7791237400968747,3.1415936630726997,0.0,0.0,0.05338344490141682
14.5801,-3.7796624793561002,3.1415936630727326,0.0,0.0,0.05347312742651718
14.5901,-3.7802016893769106,3.141593663072766,0.0,0.0,0.05356287118680063
14.6001,-3.780741370387505,3.1415936630727987,0.0,0.0,0.05365267608659974
14.6101,-3.7812815226162804,3.1415936630728316,0.0,0.0,0.05374254203005461
14.6201,-3.7818221462918316,3.1415936630728645,0.0,0.0,0.05383246892111296
14.6301,-3.7823632416429485,3.1415936630728973,0.0,0.0,0.05392245666353003
14.6401,-3.7829048088986212,3.14159366307293,0.0,0.0,0.05401250516086864
14.6501,-3.783446848288035,3.141593663072963,0.0,0.0,0.054102614316499195
14.6601,-3.783989360040574,3.1415936630729955,0.0,0.0,0.05419278403359965
14.6701,-3.7845323443858185,3.1415936630730283,0.0,0.0,0.05428301421515554
14.6801,-3.7850758015535466,3.1415936630730608,0.0,0.0,0.05437330476395994
14.6901,-3.785619731773734,3.1415936630730936,0.0,0.0,0.05446365558261353
14.7001,-3.7861641352765534,3.141593663073126,0.0,0.0,0.05455406657352453
14.7101,-3.7867090122823077,3.1415936630731585,0.0,0.0,0.05464453764384649
14.7201,-3.7872543626195707,3.141593663073191,0.0,0.0,0.054735068894505905
14.7301,-3.78780018632584,3.1415936630732233,0.0,0.0,0.05482566032877247
14.7401,-3.788346483653153,3.1415936630732557,0.0,0.0,0.05491631184548518
14.7501,-3.788893254853674,3.141593663073288,0.0,0.0,0.055007023343385725
14.7601,-3.789440500179696,3.1415936630733206,0.0,0.0,0.05509779472111856
14.7701,-3.7899882198836385,3.1415936630733525,0.0,0.0,0.05518862587723085
14.780100000000001,-3.79053641421805,3.141593663073385,0.0,0.0,0.05527951671017251
14.7901,-3.7910850834356067,3.141593663073417,0.0,0.0,0.055370467118296164
14.8001,-3.7916342277891113,3.141593663073449,0.0,0.0,0.05546147699985718
14.8101,-3.7921838475314957,3.1415936630734813,0.0,0.0,0.055552546253013674
14.8201,-3.7927339429158184,3.1415936630735133,0.0,0.0,0.05564367477582647
14.8301,-3.7932845141952676,3.1415936630735453,0.0,0.0,0.05573486246625914
14.8401,-3.7938355616231565,3.1415936630735772,0.0,0.0,0.055826109222177976
14.8501,-3.7943870854529287,3.141593663073609,0.0,0.0,0.05591741494135201
14.8601,-3.7949390859381533,3.1415936630736407,0.0,0.0,0.056008779521453014
