r,a,b,c,d,a_prime,b_prime,c_prime,d_prime,m,Phi,qnorm,ricci,energy_density,radial_pressure,tangential_pressure
9.08099999999985,0.01231580851607055,0.012315808516070555,-0.012315808516070552,-0.01231580851607055,-0.0003962694437785432,-0.00039626944377854325,0.00039626944377854325,0.0003962694437785432,0.011325989244195625,-0.001076776864033978,0.024631617032141104,0.0003208084660710442,3.34777859457337e-06,-2.721227506513707e-06,-3.34777859457337e-06
9.09099999999985,0.012311844001181278,0.012311844001181283,-0.01231184400118128,-0.012311844001181278,-0.00039663349557276134,-0.0003966334955727614,0.0003966334955727614,0.00039663349557276134,0.011360712671586028,-0.001078512771187575,0.024623688002362563,0.00032064090601642407,3.346399011480201e-06,-2.7186992530538307e-06,-3.346399011480201e-06
9.10099999999985,0.012307875846929509,0.012307875846929514,-0.01230787584692951,-0.012307875846929509,-0.0003969973162428095,-0.00039699731624280956,0.00039699731624280956,0.0003969973162428095,0.011395498224992296,-0.0010802480315101996,0.02461575169385902,0.00032047323689669827,3.345018421565779e-06,-2.7161696804950387e-06,-3.345018421565779e-06
9.11099999999985,0.01230390405562754,0.012303904055627545,-0.012303904055627542,-0.01230390405562754,-0.0003973609055772374,-0.00039736090557723747,0.00039736090557723747,0.0003973609055772374,0.011430345914918595,-0.0010819826381268554,0.024607808111255083,0.00032030545893310046,3.343636826357309e-06,-2.7136387930583285e-06,-3.343636826357309e-06
9.12099999999985,0.012299928629589786,0.012299928629589792,-0.012299928629589788,-0.012299928629589786,-0.00039772426336474,-0.0003977242633647401,0.0003977242633647401,0.00039772426336474,0.011465255751711874,-0.001083716584162951,0.024599857259179576,0.0003201375723469647,3.3422542273828354e-06,-2.7111065949661675e-06,-3.3422542273828354e-06
9.13099999999985,0.012295949571132772,0.012295949571132777,-0.012295949571132773,-0.012295949571132772,-0.00039808738939415764,-0.0003980873893941577,0.0003980873893941577,0.00039808738939415764,0.011500227745561866,-0.0010854498627443222,0.024591899142265547,0.00031996957735972494,3.340870626171241e-06,-2.7085730904424843e-06,-3.340870626171241e-06
9.140999999999849,0.012291966882575132,0.012291966882575138,-0.012291966882575134,-0.012291966882575132,-0.000398450283454476,-0.00039845028345447605,0.00039845028345447605,0.000398450283454476,0.01153526190650108,-0.0010871824669972528,0.02458393376515027,0.00031980147419291457,3.3394860242522427e-06,-2.706038283712661e-06,-3.3394860242522427e-06
9.150999999999849,0.012287980566237615,0.01228798056623762,-0.012287980566237616,-0.012287980566237615,-0.0003988129453348266,-0.00039881294533482666,0.00039881294533482666,0.0003988129453348266,0.01157035824440481,-0.001088914390048497,0.024575961132475233,0.0003196332630681662,3.338100423156392e-06,-2.703502179003524e-06,-3.338100423156392e-06
9.160999999999849,0.012283990624443072,0.012283990624443077,-0.012283990624443073,-0.012283990624443072,-0.00039917537482448686,-0.0003991753748244869,0.0003991753748244869,0.00039917537482448686,0.011605516768991119,-0.0010906456250253007,0.024567981248886147,0.000319464944207211,3.336713824415071e-06,-2.7009647805433346e-06,-3.336713824415071e-06
9.170999999999848,0.012279997059516462,0.012279997059516467,-0.012279997059516464,-0.012279997059516462,-0.0003995375717128801,-0.00039953757171288016,0.00039953757171288016,0.0003995375717128801,0.01164073748982085,-0.0010923761650554224,0.02455999411903293,0.0003192965178318784,3.3353262295604874e-06,-2.698426092561775e-06,-3.3353262295604874e-06
9.180999999999848,0.012275999873784853,0.012275999873784858,-0.012275999873784854,-0.012275999873784853,-0.0003998995357895759,-0.00039989953578957596,0.00039989953578957596,0.0003998995357895759,0.01167602041629762,-0.0010941060032671553,0.02455199974756971,0.00031912798416409565,3.3339376401256774e-06,-2.6958861192899487e-06,-3.3339376401256774e-06
9.190999999999848,0.01227199906957741,0.012271999069577415,-0.012271999069577412,-0.01227199906957741,-0.00040026126684429027,-0.0004002612668442903,0.0004002612668442903,0.00040026126684429027,0.011711365557667821,-0.0010958351327893488,0.024543998139154824,0.00031895934342588767,3.3325480576444993e-06,-2.693344864960365e-06,-3.3325480576444993e-06
9.200999999999848,0.012267994649225407,0.012267994649225412,-0.012267994649225409,-0.012267994649225407,-0.0004006227646668857,-0.00040062276466688575,0.00040062276466688575,0.0004006227646668857,0.011746772923020619,-0.00109756354675143,0.024535989298450817,0.0003187905958393761,3.3311574836516326e-06,-2.6908023338069294e-06,-3.3311574836516326e-06
9.210999999999848,0.012263986615062212,0.012263986615062217,-0.012263986615062214,-0.012263986615062212,-0.00040098402904737145,-0.0004009840290473715,0.0004009840290473715,0.00040098402904737145,0.011782242521287956,-0.0010992912382834245,0.024527973230124428,0.00031862174162677925,3.329765919682574e-06,-2.688258530064936e-06,-3.329765919682574e-06
9.220999999999847,0.012259974969423298,0.012259974969423304,-0.0122599749694233,-0.012259974969423298,-0.0004013450597759037,-0.00040134505977590374,0.00040134505977590374,0.0004013450597759037,0.011817774361244551,-0.001101018200515979,0.0245199499388466,0.0003184527810104118,3.3283733672736385e-06,-2.6857134579710623e-06,-3.3283733672736385e-06
9.230999999999847,0.012255959714646233,0.012255959714646238,-0.012255959714646235,-0.012255959714646233,-0.00040170585664278566,-0.0004017058566427857,0.0004017058566427857,0.00040170585664278566,0.011853368451507905,-0.0011027444265803825,0.02451191942929247,0.00031828371421268415,3.326979827961952e-06,-2.6831671217633525e-06,-3.326979827961952e-06
9.240999999999847,0.01225194085307068,0.012251940853070685,-0.012251940853070681,-0.01225194085307068,-0.0004020664194384678,-0.00040206641943846787,0.00040206641943846787,0.0004020664194384678,0.011889024800538297,-0.001104469909608587,0.024503881706141362,0.00031811454145610205,3.325585303285454e-06,-2.680619525681214e-06,-3.325585303285454e-06
9.250999999999847,0.012247918387038398,0.012247918387038403,-0.0122479183870384,-0.012247918387038398,-0.00040242674795354805,-0.0004024267479535481,0.0004024267479535481,0.00040242674795354805,0.01192474341663879,-0.0011061946427332304,0.0244958367740768,0.00031794526296326605,3.3241897947828904e-06,-2.678070673965406e-06,-3.3241897947828904e-06
9.260999999999846,0.012243892318893241,0.012243892318893246,-0.012243892318893243,-0.012243892318893241,-0.0004027868419787719,-0.00040278684197877194,0.00040278684197877194,0.0004027868419787719,0.011960524307955231,-0.0011079186190876562,0.024487784637786485,0.0003177758789568714,3.322793303993814e-06,-2.675520570858029e-06,-3.322793303993814e-06
9.270999999999846,0.012239862650981152,0.012239862650981157,-0.012239862650981153,-0.012239862650981152,-0.0004031467013050325,-0.00040314670130503255,0.00040314670130503255,0.0004031467013050325,0.011996367482476263,-0.0011096418318059368,0.024479725301962307,0.0003176063896597074,3.321395832458582e-06,-2.672969220602521e-06,-3.321395832458582e-06
9.280999999999846,0.012235829385650166,0.012235829385650172,-0.012235829385650168,-0.012235829385650166,-0.00040350632572337116,-0.0004035063257233712,0.0004035063257233712,0.00040350632572337116,0.012032272948033319,-0.001111364274022894,0.024471658771300336,0.00031743679529465727,3.3199973817183535e-06,-2.670416627443643e-06,-3.3199973817183535e-06
9.290999999999846,0.012231792525250407,0.012231792525250413,-0.01223179252525041,-0.012231792525250407,-0.00040386571502497716,-0.0004038657150249772,0.0004038657150249772,0.00040386571502497716,0.012068240712300629,-0.0011130859388741212,0.02446358505050082,0.00031726709608469736,3.3185979533150844e-06,-2.6678627956274716e-06,-3.3185979533150844e-06
9.300999999999846,0.012227752072134085,0.01222775207213409,-0.012227752072134087,-0.012227752072134085,-0.0004042248690011881,-0.00040422486900118813,0.00040422486900118813,0.0004042248690011881,0.012104270782795232,-0.0011148068194960035,0.024455504144268173,0.0003170972922528966,3.3171975487915266e-06,-2.6653077294013866e-06,-3.3171975487915266e-06
9.310999999999845,0.012223708028655496,0.012223708028655501,-0.012223708028655498,-0.012223708028655496,-0.00040458378744348994,-0.00040458378744349,0.00040458378744349,0.00040458378744348994,0.01214036316687697,-0.0011165269090257406,0.024447416057310996,0.000316927384022417,3.3157961696912293e-06,-2.6627514330140722e-06,-3.3157961696912293e-06
9.320999999999845,0.012219660397171022,0.012219660397171027,-0.012219660397171024,-0.012219660397171022,-0.0004049424701435175,-0.00040494247014351753,0.00040494247014351753,0.0004049424701435175,0.012176517871748505,-0.0011182462006013678,0.024439320794342047,0.00031675737161651233,3.3143938175585317e-06,-2.660193910715495e-06,-3.3143938175585317e-06
9.330999999999845,0.012215609180039127,0.012215609180039132,-0.012215609180039128,-0.012215609180039127,-0.00040530091689305414,-0.0004053009168930542,0.0004053009168930542,0.00040530091689305414,0.012212734904455314,-0.0011199646873617777,0.024431218360078256,0.0003165872552585277,3.3129904939385595e-06,-2.6576351667569015e-06,-3.3129904939385595e-06
9.340999999999845,0.012211554379620355,0.01221155437962036,-0.012211554379620357,-0.012211554379620355,-0.0004056591274840324,-0.00040565912748403245,0.00040565912748403245,0.0004056591274840324,0.012249014271885706,-0.0011216823624467412,0.024423108759240714,0.0003164170351719,3.3115862003772296e-06,-2.6550752053908104e-06,-3.3115862003772296e-06
9.350999999999845,0.012207495998277335,0.01220749599827734,-0.012207495998277336,-0.012207495998277335,-0.00040601710170853385,-0.0004060171017085339,0.0004060171017085339,0.00040601710170853385,0.01228535598077082,-0.001123399218996929,0.024414991996554673,0.0003162467115801566,3.3101809384212394e-06,-2.652514030870999e-06,-3.3101809384212394e-06
9.360999999999844,0.012203434038374766,0.012203434038374771,-0.012203434038374768,-0.012203434038374766,-0.0004063748393587895,-0.00040637483935878954,0.00040637483935878954,0.0004063748393587895,0.012321760037684643,-0.0011251152501539341,0.024406868076749536,0.00031607628470691526,3.308774709618069e-06,-2.6499516474524957e-06,-3.308774709618069e-06
9.370999999999844,0.012199368502279432,0.012199368502279437,-0.012199368502279434,-0.012199368502279432,-0.0004067323402271797,-0.00040673234022717974,0.00040673234022717974,0.0004067323402271797,0.012358226449044007,-0.001126830449060292,0.024398737004558867,0.0003159057547758839,3.3073675155159797e-06,-2.647388059391573e-06,-3.3073675155159797e-06
9.380999999999844,0.012195299392360187,0.012195299392360193,-0.01219529939236019,-0.012195299392360187,-0.0004070896041062346,-0.00040708960410623467,0.00040708960410623467,0.0004070896041062346,0.012394755221108606,-0.001128544808859503,0.02439059878472038,0.0003157351220108598,3.3059593576640065e-06,-2.644823270945735e-06,-3.3059593576640065e-06
9.390999999999844,0.012191226710987962,0.012191226710987968,-0.012191226710987964,-0.012191226710987962,-0.00040744663078863416,-0.0004074466307886342,0.0004074466307886342,0.00040744663078863416,0.012431346359981,-0.001130258322696053,0.02438245342197593,0.0003155643866357293,3.30455023761196e-06,-2.642257286373709e-06,-3.30455023761196e-06
9.400999999999843,0.01218715046053576,0.012187150460535765,-0.012187150460535761,-0.01218715046053576,-0.0004078034200672083,-0.0004078034200672084,0.0004078034200672084,0.0004078034200672083,0.012467999871606624,-0.0011319709837154354,0.024374300921071526,0.00031539354887446787,3.3031401569104238e-06,-2.63969010993544e-06,-3.3031401569104238e-06
