phi,theta,slice_name,omega0,theta0,phi0,rho0,j_ext,gamma_host,A0,xp0,psi0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,final_2m_over_r,psi_final,psi_min,psi_max,probe_response_ratio,probe_boundary_delta,core_mean_abs_psi,outer_mean_abs_psi,localization_ratio,sample_count
-2.6927937030769655,-0.8975979010256552,phi_theta,0.5,-0.8975979010256552,-2.6927937030769655,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.7636248288917933,0.17636248288917933,0.1201416639927327,0.1,0.1201416639927327,1.201416639927327,0.020141663992732692,0.10000221393008774,0.11633012862923885,0.8596415658475668,190
-2.6927937030769655,0.8975979010256552,phi_theta,0.5,0.8975979010256552,-2.6927937030769655,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.7636248288918217,0.17636248288918216,0.1201416639927327,0.1,0.1201416639927327,1.201416639927327,0.020141663992732692,0.10000221393008758,0.11633012862898316,0.8596415658494548,190
-2.6927937030769655,2.6927937030769655,phi_theta,0.5,2.6927937030769655,-2.6927937030769655,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.7636248288840395,0.17636248288840395,0.1201416639927288,0.1,0.1201416639927288,1.2014166399272879,0.020141663992728792,0.10000221408295175,0.1163301633078244,0.8596413108983022,190
-2.6927937030769655,4.487989505128276,phi_theta,0.5,4.487989505128276,-2.6927937030769655,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.7636248288825729,0.1763624828882573,0.12014166399272802,0.1,0.12014166399272802,1.20141663992728,0.020141663992728015,0.1000022141138927,0.11633017032649368,0.8596412592986434,190
-2.6927937030769655,6.283185307179586,phi_theta,0.5,6.283185307179586,-2.6927937030769655,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.7636248288818106,0.17636248288818107,0.12014166399272769,0.1,0.12014166399272769,1.2014166399272768,0.020141663992727682,0.1000022141271915,0.11633017334350626,0.859641237118244,190
-0.8975979010256552,-6.283185307179586,phi_theta,0.5,-6.283185307179586,-0.8975979010256552,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.6776952602680386,0.36776952602680385,0.12664392767508564,0.1,0.12664392767508564,1.2664392767508563,0.026643927675085638,0.10000281876561819,0.12166813153337953,0.8219310801052493,218
-0.8975979010256552,-4.487989505128276,phi_theta,0.5,-4.487989505128276,-0.8975979010256552,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.6776952602766024,0.3677695260276602,0.126643927675098,0.1,0.126643927675098,1.2664392767509798,0.02664392767509799,0.10000281874778436,0.12166812760577354,0.8219311064916799,218
-0.8975979010256552,-2.6927937030769655,phi_theta,0.5,-2.6927937030769655,-0.8975979010256552,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.677695260296578,0.3677695260296578,0.1266439276751271,0.1,0.1266439276751271,1.266439276751271,0.026643927675127105,0.10000281870629316,0.12166811846813287,0.8219311678801521,218
-0.8975979010256552,-0.8975979010256552,phi_theta,0.5,-0.8975979010256552,-0.8975979010256552,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.6776952603952284,0.36776952603952284,0.12664392767527102,0.1,0.12664392767527102,1.2664392767527102,0.026643927675271017,0.10000281850133041,0.12166807332579661,0.8219314711555259,218
-0.8975979010256552,0.8975979010256552,phi_theta,0.5,0.8975979010256552,-0.8975979010256552,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.6776952603952346,0.36776952603952345,0.1266439276752709,0.1,0.1266439276752709,1.266439276752709,0.026643927675270906,0.10000281850133035,0.1216680733257911,0.8219314711555626,218
