family,function_class,theta,phi,rho,theta_label,phi_label,rho_label,beta,gamma,delta,R,J_ang_direct,J_ang_formula,formula_abs_error,vacuum_hit,sign_flip_hit,singular_sheet_hit
lifted_chart_linear,L,0.0,-3.141592653589793,3.141592653589793,0,-pi,pi,0.0,-1.413716694115407,1.5707963267948966,2.1132903235222873,0.020323771126440487,0.020323771126440494,6.938893903907228e-18,False,False,False
lifted_chart_linear,L,0.0,-3.141592653589793,4.71238898038469,0,-pi,3pi/2,0.0,-1.413716694115407,2.356194490192345,2.747771345442222,0.0024133087265663746,0.0024133087265663755,8.673617379884035e-19,False,False,False
lifted_chart_linear,L,0.0,-3.141592653589793,6.283185307179586,0,-pi,2pi,0.0,-1.413716694115407,3.141592653589793,3.4450252963236645,0.0009309259430004544,0.0009309259430004549,5.421010862427522e-19,False,False,False
lifted_chart_linear,L,0.0,-1.5707963267948966,-6.283185307179586,0,-pi/2,-2pi,0.0,-0.7068583470577035,-3.141592653589793,3.220132469929538,7.34656504739407e-05,7.346565047394062e-05,8.131516293641283e-20,False,False,False
lifted_chart_linear,L,0.0,-1.5707963267948966,-4.71238898038469,0,-pi/2,-3pi/2,0.0,-0.7068583470577035,-2.356194490192345,2.4599392672214315,0.008118668014030645,0.008118668014030645,0.0,False,False,False
lifted_chart_linear,L,0.0,-1.5707963267948966,-3.141592653589793,0,-pi/2,-pi,0.0,-0.7068583470577035,-1.5707963267948966,1.7225126481618322,0.040755409378533926,0.04075540937853392,6.938893903907228e-18,False,False,False
lifted_chart_linear,L,0.0,-1.5707963267948966,-1.5707963267948966,0,-pi/2,-pi/2,0.0,-0.7068583470577035,-0.7853981633974483,1.0566451617611436,0.08403001149357446,0.08403001149357446,0.0,False,False,False
lifted_chart_linear,L,0.0,-1.5707963267948966,-0.7853981633974483,0,-pi/2,-pi/4,0.0,-0.7068583470577035,-0.39269908169872414,0.8086169003750602,0.09902296856758071,0.09902296856758071,0.0,False,False,False
lifted_chart_linear,L,0.0,-1.5707963267948966,0.0,0,-pi/2,0,0.0,-0.7068583470577035,0.0,0.7068583470577035,0.10446462703356249,0.10446462703356252,2.7755575615628914e-17,False,False,False
lifted_chart_linear,L,0.0,-1.5707963267948966,0.7853981633974483,0,-pi/2,pi/4,0.0,-0.7068583470577035,0.39269908169872414,0.8086169003750602,0.09902296856758071,0.09902296856758071,0.0,False,False,False
lifted_chart_linear,L,0.0,-1.5707963267948966,1.5707963267948966,0,-pi/2,pi/2,0.0,-0.7068583470577035,0.7853981633974483,1.0566451617611436,0.08403001149357446,0.08403001149357446,0.0,False,False,False
