family,q_hash,class_multiplicity,point_a,point_b,q_a,q_b
periodic_harmonic,-0.0239065469|0.8183816488|-0.0000000000|0.0000000000,24,"(-1.5707963267948966, -4.71238898038469, -3.141592653589793, -6.283185307179586)","(-1.5707963267948966, -4.71238898038469, -3.141592653589793, 0.0)","(-0.023906546883251334, 0.8183816487750432, -2.0670962124724106e-16, 4.00891386661316e-16)","(-0.023906546883251334, 0.8183816487750432, -2.0670962124724106e-16, 0.0)"
periodic_harmonic,-0.0239065469|0.8183816488|0.0000000000|-0.0000000000,24,"(-1.5707963267948966, -4.71238898038469, -6.283185307179586, -3.141592653589793)","(-1.5707963267948966, -4.71238898038469, -6.283185307179586, 6.283185307179586)","(-0.023906546883251334, 0.8183816487750432, 6.263927916583062e-17, -2.00445693330658e-16)","(-0.023906546883251334, 0.8183816487750432, 6.263927916583062e-17, -4.00891386661316e-16)"
periodic_harmonic,-0.0239065469|0.8183816488|0.0000000000|0.0000000000,36,"(-1.5707963267948966, -4.71238898038469, -6.283185307179586, -6.283185307179586)","(-1.5707963267948966, -4.71238898038469, -6.283185307179586, 0.0)","(-0.023906546883251334, 0.8183816487750432, 6.263927916583062e-17, 4.00891386661316e-16)","(-0.023906546883251334, 0.8183816487750432, 6.263927916583062e-17, 0.0)"
periodic_harmonic,-0.0291995223|-0.9995736030|-0.0000000000|-0.0000000000,40,"(-6.283185307179586, -1.5707963267948966, -3.141592653589793, -3.141592653589793)","(-6.283185307179586, -1.5707963267948966, -3.141592653589793, 6.283185307179586)","(-0.029199522301288815, -0.9995736030415051, -2.5247570152962427e-16, -2.448249226953932e-16)","(-0.029199522301288815, -0.9995736030415051, -2.5247570152962427e-16, -4.896498453907864e-16)"
periodic_harmonic,-0.0291995223|-0.9995736030|-0.0000000000|0.0000000000,60,"(-6.283185307179586, -1.5707963267948966, -3.141592653589793, -6.283185307179586)","(-6.283185307179586, -1.5707963267948966, -3.141592653589793, 0.0)","(-0.029199522301288815, -0.9995736030415051, -2.5247570152962427e-16, 4.896498453907864e-16)","(-0.029199522301288815, -0.9995736030415051, -2.5247570152962427e-16, 0.0)"
periodic_harmonic,-0.0291995223|-0.9995736030|0.0000000000|-0.0000000000,60,"(-6.283185307179586, -1.5707963267948966, -6.283185307179586, -3.141592653589793)","(-6.283185307179586, -1.5707963267948966, -6.283185307179586, 6.283185307179586)","(-0.029199522301288815, -0.9995736030415051, 7.650778834231037e-17, -2.448249226953932e-16)","(-0.029199522301288815, -0.9995736030415051, 7.650778834231037e-17, -4.896498453907864e-16)"
periodic_harmonic,-0.0291995223|-0.9995736030|0.0000000000|0.0000000000,90,"(-6.283185307179586, -1.5707963267948966, -6.283185307179586, -6.283185307179586)","(-6.283185307179586, -1.5707963267948966, -6.283185307179586, 0.0)","(-0.029199522301288815, -0.9995736030415051, 7.650778834231037e-17, 4.896498453907864e-16)","(-0.029199522301288815, -0.9995736030415051, 7.650778834231037e-17, 0.0)"
periodic_harmonic,-0.0291995223|0.9995736030|-0.0000000000|-0.0000000000,40,"(-6.283185307179586, -4.71238898038469, -3.141592653589793, -3.141592653589793)","(-6.283185307179586, -4.71238898038469, -3.141592653589793, 6.283185307179586)","(-0.029199522301288593, 0.9995736030415052, -2.524757015296243e-16, -2.4482492269539326e-16)","(-0.029199522301288593, 0.9995736030415052, -2.524757015296243e-16, -4.896498453907865e-16)"
periodic_harmonic,-0.0291995223|0.9995736030|-0.0000000000|0.0000000000,60,"(-6.283185307179586, -4.71238898038469, -3.141592653589793, -6.283185307179586)","(-6.283185307179586, -4.71238898038469, -3.141592653589793, 0.0)","(-0.029199522301288593, 0.9995736030415052, -2.524757015296243e-16, 4.896498453907865e-16)","(-0.029199522301288593, 0.9995736030415052, -2.524757015296243e-16, 0.0)"
periodic_harmonic,-0.0291995223|0.9995736030|0.0000000000|-0.0000000000,60,"(-6.283185307179586, -4.71238898038469, -6.283185307179586, -3.141592653589793)","(-6.283185307179586, -4.71238898038469, -6.283185307179586, 6.283185307179586)","(-0.029199522301288593, 0.9995736030415052, 7.650778834231039e-17, -2.4482492269539326e-16)","(-0.029199522301288593, 0.9995736030415052, 7.650778834231039e-17, -4.896498453907865e-16)"
periodic_harmonic,-0.0291995223|0.9995736030|0.0000000000|0.0000000000,90,"(-6.283185307179586, -4.71238898038469, -6.283185307179586, -6.283185307179586)","(-6.283185307179586, -4.71238898038469, -6.283185307179586, 0.0)","(-0.029199522301288593, 0.9995736030415052, 7.650778834231039e-17, 4.896498453907865e-16)","(-0.029199522301288593, 0.9995736030415052, 7.650778834231039e-17, 0.0)"
periodic_harmonic,-0.0356643771|-1.2208819557|-0.0000000000|-0.0000000000,16,"(-4.71238898038469, -1.5707963267948966, -3.141592653589793, -3.141592653589793)","(-4.71238898038469, -1.5707963267948966, -3.141592653589793, 6.283185307179586)","(-0.035664377075753546, -1.2208819557389932, -3.0837451821670685e-16, -2.9902983584650364e-16)","(-0.035664377075753546, -1.2208819557389932, -3.0837451821670685e-16, -5.980596716930073e-16)"
periodic_harmonic,-0.0356643771|-1.2208819557|-0.0000000000|0.0000000000,24,"(-4.71238898038469, -1.5707963267948966, -3.141592653589793, -6.283185307179586)","(-4.71238898038469, -1.5707963267948966, -3.141592653589793, 0.0)","(-0.035664377075753546, -1.2208819557389932, -3.0837451821670685e-16, 5.980596716930073e-16)","(-0.035664377075753546, -1.2208819557389932, -3.0837451821670685e-16, 0.0)"
periodic_harmonic,-0.0356643771|-1.2208819557|0.0000000000|-0.0000000000,24,"(-4.71238898038469, -1.5707963267948966, -6.283185307179586, -3.141592653589793)","(-4.71238898038469, -1.5707963267948966, -6.283185307179586, 6.283185307179586)","(-0.035664377075753546, -1.2208819557389932, 9.344682370203238e-17, -2.9902983584650364e-16)","(-0.035664377075753546, -1.2208819557389932, 9.344682370203238e-17, -5.980596716930073e-16)"
periodic_harmonic,-0.0356643771|-1.2208819557|0.0000000000|0.0000000000,36,"(-4.71238898038469, -1.5707963267948966, -6.283185307179586, -6.283185307179586)","(-4.71238898038469, -1.5707963267948966, -6.283185307179586, 0.0)","(-0.035664377075753546, -1.2208819557389932, 9.344682370203238e-17, 5.980596716930073e-16)","(-0.035664377075753546, -1.2208819557389932, 9.344682370203238e-17, 0.0)"
periodic_harmonic,-0.0356643771|1.2208819557|-0.0000000000|-0.0000000000,16,"(-4.71238898038469, -4.71238898038469, -3.141592653589793, -3.141592653589793)","(-4.71238898038469, -4.71238898038469, -3.141592653589793, 6.283185307179586)","(-0.035664377075753276, 1.2208819557389932, -3.0837451821670695e-16, -2.9902983584650374e-16)","(-0.035664377075753276, 1.2208819557389932, -3.0837451821670695e-16, -5.980596716930075e-16)"
periodic_harmonic,-0.0356643771|1.2208819557|-0.0000000000|0.0000000000,24,"(-4.71238898038469, -4.71238898038469, -3.141592653589793, -6.283185307179586)","(-4.71238898038469, -4.71238898038469, -3.141592653589793, 0.0)","(-0.035664377075753276, 1.2208819557389932, -3.0837451821670695e-16, 5.980596716930075e-16)","(-0.035664377075753276, 1.2208819557389932, -3.0837451821670695e-16, 0.0)"
