family,dimension_family,free_variables,held_variables,resolution,sample_count,approx_unique_q_count_8dp,singular_fraction,vacuum_hit_count,sign_flip_hit_count,norm_min,norm_max,R_min,R_max,jac_abs_min,jac_abs_max
periodic_harmonic,3D,omega|phi|rho,theta,17,4913,245,0.0,125,0,0.8094329354013697,1.2354328027239645,0.0,2.568249216481185,4.069932112418367e-18,12.207360000000008
periodic_harmonic,3D,omega|theta|rho,phi,17,4913,245,0.0,125,0,0.8094329354013697,1.2354328027239645,0.0,2.5586065601841295,5.19419157797355e-19,1.8496000000000015
periodic_harmonic,3D,omega|theta|phi,rho,17,4913,343,0.0,125,0,0.8094329354013697,1.2354328027239645,0.0,2.8813836203764125,0.002326822885587548,12.207360000000008
periodic_harmonic,3D,theta|phi|rho,omega,33,35937,2025,0.0,125,0,1.0,1.0,0.0,3.4576876424379437,3.753086500445571e-21,12.207360000000001
periodic_harmonic,3D,omega|phi|rho,theta,33,35937,2025,0.0,125,0,0.7911455020337579,1.26398999606185,0.0,2.7357003643175726,6.440594709346373e-20,16.867642513691546
periodic_harmonic,3D,omega|theta|rho,phi,33,35937,2025,0.0,125,0,0.7911455020337579,1.26398999606185,0.0,2.625175679709982,3.582470463176618e-20,2.555703411165386
periodic_harmonic,3D,omega|theta|phi,rho,33,35937,3375,0.0,125,0,0.7911455020337579,1.26398999606185,0.0,3.087977304428914,1.472133016589024e-06,16.867642513691546
periodic_harmonic,3D,theta|phi|rho,omega,65,274625,16337,0.0,125,0,1.0,1.0,0.0,3.486778091944488,9.138218194071387e-22,12.207360000000001
periodic_harmonic,3D,omega|phi|rho,theta,65,274625,16337,0.0,125,0,0.7911455020337579,1.26398999606185,0.0,2.7357003643175726,6.440594709346373e-20,16.867642513691546
periodic_harmonic,3D,omega|theta|rho,phi,65,274625,16337,0.0,125,0,0.7911455020337579,1.26398999606185,0.0,2.6633747350188535,9.495629008059968e-21,2.555703411165386
